,wood_harvest_biomass
2015.0,1.3780581504106522
2016.0,1.3540792651474476
2017.0,1.32844247110188
2018.0,1.3029453437775373
2019.0,1.2776147816330194
2020.0,1.2533839605748653
2021.0,1.2329177409410477
2022.0,1.2178309839218855
2023.0,1.2041427921503782
2024.0,1.1959511283785105
2025.0,1.189842352643609
2026.0,1.1860182583332062
2027.0,1.183697398751974
2028.0,1.1839940063655376
2029.0,1.1851197853684425
2030.0,1.1874262429773808
2031.0,1.189937587827444
2032.0,1.1916619203984737
2033.0,1.1935936287045479
2034.0,1.1944092065095901
2035.0,1.1957606300711632
2036.0,1.1957128942012787
2037.0,1.1951851062476635
2038.0,1.1957008950412273
2039.0,1.1954873837530613
2040.0,1.1959241796284914
2041.0,1.1942773051559925
2042.0,1.1933893151581287
2043.0,1.1925349421799183
2044.0,1.19109027646482
2045.0,1.1899637784808874
2046.0,1.1865507755428553
2047.0,1.1835990268737078
2048.0,1.1808845065534115
2049.0,1.1774320751428604
2050.0,1.1729123927652836
2051.0,1.1690845470875502
2052.0,1.165467731654644
2053.0,1.1612771227955818
2054.0,1.1572586074471474
2055.0,1.1536026559770107
2056.0,1.148969634436071
2057.0,1.1440472332760692
2058.0,1.1398888491094112
2059.0,1.1354151470586658
2060.0,1.1310722762718797
2061.0,1.1258455691859126
2062.0,1.120678204111755
2063.0,1.1162428492680192
2064.0,1.1117880437523127
2065.0,1.1073769070208073
2066.0,1.1009739926084876
2067.0,1.0959030715748668
2068.0,1.0909031555056572
2069.0,1.085628792643547
2070.0,1.0814371285960078
2071.0,1.075805660802871
2072.0,1.070461749099195
2073.0,1.0649411412887275
2074.0,1.0598258315585554
2075.0,1.0548118352890015
2076.0,1.0488630407489836
2077.0,1.0425406657159328
2078.0,1.037421910557896
2079.0,1.0311282281763852
2080.0,1.0257613006979227
2081.0,1.0195881016552448
2082.0,1.0134313353337348
2083.0,1.0074903210625052
2084.0,1.002146055456251
2085.0,0.9954508300870657
2086.0,0.989117007702589
2087.0,0.9821226675994694
2088.0,0.9760071528144181
2089.0,0.9698476642370224
2090.0,0.9632128519006073
2091.0,0.9567577235866338
2092.0,0.9496015561744571
2093.0,0.9425177881494164
2094.0,0.9365045111626387
2095.0,0.9296537300106138
2096.0,0.9219454471021891
2097.0,0.9154437463730574
2098.0,0.9083405751734972
2099.0,0.9014650357421488
