Year,Emissions.HFC134a eq Emissions,Ozone Forcing.Montreal gases equivalent effective stratospheric chlorine,Minor GHGs Forcing.Montreal Gases Effective Radiative Forcing,Emissions.Total CH4 Emissions,Emissions.CO Emissions,Emissions.CO2 Emissions from Fossil use,Emissions.Total N2O Emissions,Emissions.Total NOx Emissions,Emissions.Total SO2 Emissions,Emissions.VOC Emissions
2075,1080.9055226107782,796.2585917808688,0.1491997041206989,523.9558611352745,689.7925654483956,40856.81137072224,15327.14135265735,104.55351008281364,55.117493330030285,202.01519931683143
2076,1059.0966030327334,789.1179240863285,0.1473119664191448,522.6446765998962,683.059560121825,40286.13909900315,15340.99377428586,103.02400285096938,53.80752711441829,200.8622516706629
2077,1036.8951862917925,782.0996837412412,0.1454579054510354,521.3334920645178,676.3265547952545,39715.466827284064,15354.846195914371,101.49449561912512,52.4975608988063,199.7093040244944
2078,1014.3139602490642,775.1998877812724,0.14363613786326243,520.0223075291395,669.593549468684,39144.79455556498,15368.69861754288,99.96498838728088,51.18759468319431,198.55635637832583
2079,991.3641123425765,768.4145273606157,0.14184537169604564,518.7111229937611,662.8605441421134,38574.122283845885,15382.551039171392,98.4354811554366,49.87762846758232,197.4034087321573
2080,968.0559043089227,761.7397260028747,0.14008440011054463,517.3999384583828,656.127538815543,38003.4500121268,15396.403460799902,96.90597392359236,48.567662251970326,196.25046108598875
2081,944.3989833878259,755.1717797757628,0.13835209501539233,515.9255873633577,650.9233549165045,37333.94485042163,15424.459087369913,95.71827413458034,47.58667073094497,195.3852362760443
2082,928.4081570619287,748.9728095125352,0.13666052732547226,514.4512362683327,645.7191710174662,36664.439688716455,15452.51471393992,94.53057434556834,46.60567920991961,194.52001146609987
2083,912.1958013902272,742.9643088788481,0.13499903555464154,512.9768851733074,640.5149871184278,35994.93452701128,15480.57034050993,93.34287455655632,45.62468768889425,193.6547866561555
2084,895.8030203272065,737.0879237055412,0.1333651086113371,511.5025340782824,635.3108032193895,35325.42936530612,15508.62596707994,92.15517476754432,44.64369616786889,192.78956184621103
2085,879.2538947091972,731.3229465427194,0.13175751933916732,510.0281829832573,630.1066193203511,34655.924203600945,15536.681593649952,90.9674749785323,43.66270464684353,191.9243370362666
2086,862.5632507732154,725.6605958244463,0.13017531153194042,508.55383188823214,624.9024354213127,33986.41904189577,15564.73722021996,89.7797751895203,42.68171312581817,191.05911222632216
2087,845.7408328787642,720.0959558412359,0.12861762854965736,507.079480793207,619.6982515222744,33316.9138801906,15592.79284678997,88.59207540050828,41.70072160479281,190.1938874163777
2088,828.7935498443325,714.6254351963745,0.1270836759390883,505.6051296981819,614.494067623236,32647.40871848543,15620.84847335998,87.40437561149626,40.71973008376745,189.3286626064333
2089,811.7266886766575,709.2459576826084,0.1255727094789435,504.1307786031567,609.2898837241977,31977.90355678026,15648.90409992999,86.21667582248426,39.73873856274209,188.46343779648888
2090,794.544574277772,703.9546996821164,0.12408402930717213,502.6564275081316,604.0856998251593,31308.398395075088,15676.9597265,85.02897603347225,38.75774704171673,187.59821298654444
2091,777.2509314560525,698.7490009886923,0.12261697591370994,501.5542382835348,600.7866210948025,30560.77103597793,15710.23917022999,83.99101231914453,38.02734449547037,186.27359380902791
2092,767.0347664784459,693.668577730188,0.12118008076651175,500.4520490589379,597.4875423644457,29813.14367688078,15743.51861395998,82.95304860481681,37.296941949224006,184.9489746315114
2093,756.8299143971578,688.6866646626779,0.11976575592130652,499.3498598343411,594.188463634089,29065.51631778363,15776.79805768997,81.91508489048911,36.56653940297765,183.6243554539949
2094,746.6620486789261,683.793120516818,0.11837244058722278,498.2476706097442,590.8893849037322,28317.888958686475,15810.07750141996,80.8771211761614,35.83613685673128,182.2997362764784
2095,736.5446511288658,678.9830616963544,0.11699941715455624,497.1454813851474,587.5903061733754,27570.26159958932,15843.35694514995,79.83915746183368,35.10573431048492,180.97511709896185
2096,726.4845835725408,674.2533256741632,0.11564611299975056,496.04329216055055,584.2912274430186,26822.634240492167,15876.63638887994,78.80119374750596,34.37533176423855,179.65049792144532
2097,716.4850853650273,669.6013622391022,0.11431200203968918,494.94110293595367,580.9921487126618,26075.006881395013,15909.91583260993,77.76323003317825,33.64492921799219,178.3258787439288
2098,706.547391103918,665.0248813639803,0.11299658840269867,493.8389137113568,577.693069982305,25327.37952229786,15943.19527633992,76.72526631885054,32.91452667174583,177.0012595664123
2099,696.6716080864693,660.5217381765458,0.11169940205484938,492.73672448676,574.3939912519483,24579.75216320071,15976.47472006991,75.68730260452283,32.184124125499466,175.67664038889578
2100,686.8571960397962,656.0898927692751,0.11041999647070333,491.6345352621631,571.0949125215915,23832.124804103554,16009.7541637999,74.64933889019511,31.453721579253106,174.35202121137925
2101,677.1032326492841,651.7273939219754,0.10915794681351719,490.4945483488254,569.1645351116099,23673.2439720762,15990.567994482297,74.28309804860086,31.255575132995563,173.44097789709173
2102,671.6027178000475,646.0523582223925,0.1079067190329559,489.35456143548765,567.2341577016282,23514.36314004884,15971.381825164695,73.91685720700661,31.057428686738017,172.5299345828042
