Year,Emissions.HFC134a eq Emissions,Ozone Forcing.Montreal gases equivalent effective stratospheric chlorine,Minor GHGs Forcing.Montreal Gases Effective Radiative Forcing,Emissions.CO Emissions,Emissions.Total NOx Emissions,Emissions.Total SO2 Emissions,Emissions.VOC Emissions,N2O Forcing.Atmos N2O exogenous,CH4 Forcing.Atmos CH4 exogenous,CO2 Forcing.Atmos CO2 exogenous
1791,9.927890959514964e-05,344.0455055722232,-2.175273489098275e-06,356.6583861664455,12.639418553071096,2.5655352132834346,60.21873920423577,274.6740468343099,751.7080535888672,280.14099884033203
1792,0.00010180016088414845,344.0987399861907,-1.8231904976953506e-06,354.25153761087523,12.652724960740573,2.555885905296148,59.70568574139235,274.6740468343099,752.2780151367188,280.2409973144531
1793,0.00010429826632667039,344.17329253656635,-1.317602640515674e-06,353.37230933667234,12.47524671461044,2.5493745985836123,59.58493949599902,274.6590525309245,752.6820678710938,280.33199818929035
1794,0.00010666383399281271,344.1505960401469,-1.4615753967386403e-06,365.721914030605,12.816348771677823,2.642660372712238,62.03822453198564,274.64805603027344,753.2520446777344,280.41500091552734
1795,0.00010895750944450654,344.0398238446726,-2.207082332939708e-06,362.19212268926736,12.872587872512922,2.6101635634209632,61.24273214189555,274.6310526529948,753.841064453125,280.4919967651367
1796,0.00011148349387475021,344.0713639650837,-2.006133991507495e-06,354.4783029356138,12.315862419925484,2.568822151347849,59.864242428463136,274.6150538126628,754.5180511474609,280.5549952189128
1797,0.00011387485732394137,344.05359223845915,-2.125975344329422e-06,363.54823719908,12.944413187522116,2.640239462115646,61.4713769474247,274.60105387369794,755.2560729980469,280.6230010986328
1798,0.00011636467983393559,344.08874836343233,-1.8911852391882384e-06,367.6501027985187,13.189856964098109,2.684800165763159,62.19763902639178,274.5840530395508,756.113047281901,280.682004292806
1799,0.0001182562477597572,344.07963961080566,-1.9494022113776416e-06,363.4860469038741,12.753675747091163,2.661313715429832,61.49623019706863,274.57004801432294,756.9420471191406,280.7529983520508
1800,0.00012159715885131269,344.03366006941945,-2.259006267789745e-06,365.8466368441075,12.703711090289811,2.6985937954486108,62.00320914073126,274.5470504760742,757.7620493570963,280.83399709065753
1801,0.00012343642946258514,343.9392661046784,-2.8993694209126638e-06,364.9170683864809,12.881578210075109,2.688431218390064,61.665647788634544,274.5320510864258,758.5840606689453,280.9189987182617
