Year,Emissions.HFC134a eq Emissions,Ozone Forcing.Montreal gases equivalent effective stratospheric chlorine,Minor GHGs Forcing.Montreal Gases Effective Radiative Forcing,Emissions.CO Emissions,Emissions.Total NOx Emissions,Emissions.Total SO2 Emissions,Emissions.VOC Emissions,N2O Forcing.Atmos N2O exogenous,CH4 Forcing.Atmos CH4 exogenous,CO2 Forcing.Atmos CO2 exogenous
1856,0.0006456304382178987,343.8530064805607,-3.5094916746730923e-06,404.8549167301799,12.946146656322552,5.188552235176194,65.04253470413643,273.5780461629232,814.7961222330729,285.04899342854816
1857,0.0006700941310213846,343.8094250788667,-3.802623953981621e-06,414.6731918454804,13.660998095817272,5.285746479984215,66.72779876959439,273.675048828125,816.4521179199219,285.2039998372396
1858,0.0006938407155112795,343.8475207898722,-3.550541976283134e-06,419.0140236088295,13.9294510182842,5.3613428075002,67.47060376347301,273.7560501098633,818.3551279703776,285.3690007527669
1859,0.0007180440705945497,343.8349509950133,-3.632567965909216e-06,416.2997484931252,13.531486507079054,5.522088205892609,66.95694733909333,273.8950500488281,820.3960774739584,285.5449956258138
1860,0.0007424199184412631,343.76803559084044,-4.083611630568826e-06,416.0639965860974,13.338568923855494,5.787726354552483,66.84953492841794,274.0560480753581,822.3121185302734,285.73899332682294
1861,0.0012728541823840214,343.68934422745934,-4.6205417886155715e-06,417.2441372168871,13.667803666757012,5.933301365192519,66.88575551122409,274.24004618326825,824.3991902669271,285.9330012003581
1862,0.0013335757250384783,343.79231151264946,-3.937598485985683e-06,414.16280656087633,13.27771597474367,5.943503850094243,66.35896016165403,274.41604868570965,827.0292002360026,286.1000010172526
1863,0.000888283194873505,343.8006212802107,-3.874086943759217e-06,408.1224194075052,13.044741272187805,6.119347249550137,65.00963540040021,274.571044921875,830.1662139892578,286.271001180013
1864,0.0009144776621597968,343.84753066618975,-3.555087738057458e-06,411.3310642864957,13.42555248261248,6.376488796870201,65.39906664161046,274.7200520833333,833.6041412353516,286.44200134277344
1865,0.0009407790029823068,343.8468253665294,-3.553991064604413e-06,420.4890049801762,13.656138439945162,6.64379561561145,67.10347351160692,274.8800430297852,836.8942057291666,286.6139958699544
1866,0.0014730760507848818,343.8107207754483,-3.795408537254698e-06,417.1011849314015,13.57734060635964,6.765960834568206,66.37528156013664,275.0480473836263,840.3622080485026,286.78099822998047
1867,0.001535043849145944,343.7840824980631,-3.978016682167117e-06,424.2969752987472,13.897618510058097,7.119763794229744,67.66026448741948,275.2130482991536,843.9951222737631,286.9550018310547
1868,0.0010913716171359702,343.7929517016743,-3.92205625415751e-06,434.930228259825,14.331588558352989,7.325189710974375,69.64729381366908,275.3910446166992,847.2491251627604,287.10500081380206
1869,0.001119921239827733,343.69895398343914,-4.5551521709811385e-06,426.4036167290826,13.94409189653389,7.571114078764871,67.9294955911712,275.56104787190753,850.1300862630209,287.2249984741211
