Year,CO2 Forcing.Atmos CO2 exogenous
2146,568.59454
2147,568.59454
2148,568.59454
2149,568.59454
2150,568.59454
2151,568.59454
2152,568.59454
2153,568.59454
2154,568.59454
2155,568.59454
2156,568.59454
2157,568.59454
2158,568.59454
2159,568.59454
2160,568.59454
2161,568.59454
2162,568.59454
2163,568.59454
2164,568.59454
2165,568.59454
2166,568.59454
2167,568.59454
2168,568.59454
2169,568.59454
2170,568.59454
2171,568.59454
2172,568.59454
2173,568.59454
2174,568.59454
2175,568.59454
2176,568.59454
2177,568.59454
2178,568.59454
2179,568.59454
2180,568.59454
2181,568.59454
2182,568.59454
2183,568.59454
2184,568.59454
2185,568.59454
2186,568.59454
2187,568.59454
2188,568.59454
2189,568.59454
2190,568.59454
2191,568.59454
2192,568.59454
2193,568.59454
2194,568.59454
2195,568.59454
2196,568.59454
2197,568.59454
2198,568.59454
2199,568.59454
2200,568.59454
2201,568.59454
2202,568.59454
2203,568.59454
2204,568.59454
2205,568.59454
2206,568.59454
2207,568.59454
2208,568.59454
2209,568.59454
2210,568.59454
2211,568.59454
2212,568.59454
2213,568.59454
2214,568.59454
2215,568.59454
2216,568.59454
2217,568.59454
2218,568.59454
2219,568.59454
2220,568.59454
2221,568.59454
2222,568.59454
2223,568.59454
2224,568.59454
2225,568.59454
2226,568.59454
2227,568.59454
2228,568.59454
2229,568.59454
2230,568.59454
2231,568.59454
2232,568.59454
2233,568.59454
2234,568.59454
2235,568.59454
2236,568.59454
2237,568.59454
2238,568.59454
2239,568.59454
2240,568.59454
2241,568.59454
2242,568.59454
2243,568.59454
2244,568.59454
2245,568.59454
2246,568.59454
2247,568.59454
2248,568.59454
2249,568.59454
2250,568.59454
2251,568.59454
2252,568.59454
2253,568.59454
2254,568.59454
2255,568.59454
2256,568.59454
2257,568.59454
2258,568.59454
2259,568.59454
2260,568.59454
2261,568.59454
2262,568.59454
2263,568.59454
2264,568.59454
2265,568.59454
2266,568.59454
2267,568.59454
2268,568.59454
2269,568.59454
2270,568.59454
2271,568.59454
2272,568.59454
2273,568.59454
2274,568.59454
2275,568.59454
2276,568.59454
2277,568.59454
2278,568.59454
2279,568.59454
2280,568.59454
2281,568.59454
2282,568.59454
2283,568.59454
2284,568.59454
2285,568.59454
2286,568.59454
2287,568.59454
2288,568.59454
2289,568.59454
2290,568.59454
2291,568.59454
2292,568.59454
2293,568.59454
2294,568.59454
2295,568.59454
2296,568.59454
2297,568.59454
2298,568.59454
2299,568.59454
2300,568.59454
2301,568.59454
2302,568.59454
2303,568.59454
2304,568.59454
2305,568.59454
2306,568.59454
2307,568.59454
2308,568.59454
2309,568.59454
2310,568.59454
2311,568.59454
2312,568.59454
2313,568.59454
2314,568.59454
2315,568.59454
2316,568.59454
2317,568.59454
2318,568.59454
2319,568.59454
2320,568.59454
2321,568.59454
2322,568.59454
2323,568.59454
2324,568.59454
2325,568.59454
2326,568.59454
2327,568.59454
2328,568.59454
2329,568.59454
2330,568.59454
2331,568.59454
2332,568.59454
2333,568.59454
2334,568.59454
2335,568.59454
2336,568.59454
2337,568.59454
2338,568.59454
2339,568.59454
2340,568.59454
2341,568.59454
2342,568.59454
2343,568.59454
2344,568.59454
2345,568.59454
2346,568.59454
2347,568.59454
2348,568.59454
2349,568.59454
2350,568.59454
2351,568.59454
2352,568.59454
2353,568.59454
2354,568.59454
2355,568.59454
2356,568.59454
2357,568.59454
2358,568.59454
2359,568.59454
2360,568.59454
2361,568.59454
2362,568.59454
2363,568.59454
2364,568.59454
2365,568.59454
2366,568.59454
2367,568.59454
2368,568.59454
2369,568.59454
2370,568.59454
2371,568.59454
2372,568.59454
2373,568.59454
2374,568.59454
2375,568.59454
2376,568.59454
2377,568.59454
2378,568.59454
2379,568.59454
2380,568.59454
2381,568.59454
2382,568.59454
2383,568.59454
2384,568.59454
2385,568.59454
2386,568.59454
2387,568.59454
2388,568.59454
2389,568.59454
2390,568.59454
2391,568.59454
2392,568.59454
2393,568.59454
2394,568.59454
2395,568.59454
2396,568.59454
2397,568.59454
2398,568.59454
2399,568.59454
2400,568.59454
2401,568.59454
2402,568.59454
2403,568.59454
2404,568.59454
2405,568.59454
2406,568.59454
2407,568.59454
2408,568.59454
2409,568.59454
2410,568.59454
2411,568.59454
2412,568.59454
2413,568.59454
2414,568.59454
2415,568.59454
2416,568.59454
2417,568.59454
2418,568.59454
2419,568.59454
2420,568.59454
2421,568.59454
2422,568.59454
2423,568.59454
2424,568.59454
2425,568.59454
2426,568.59454
2427,568.59454
2428,568.59454
2429,568.59454
2430,568.59454
2431,568.59454
2432,568.59454
2433,568.59454
2434,568.59454
2435,568.59454
2436,568.59454
2437,568.59454
2438,568.59454
2439,568.59454
2440,568.59454
2441,568.59454
2442,568.59454
2443,568.59454
2444,568.59454
2445,568.59454
2446,568.59454
2447,568.59454
2448,568.59454
2449,568.59454
2450,568.59454
2451,568.59454
2452,568.59454
2453,568.59454
2454,568.59454
2455,568.59454
2456,568.59454
2457,568.59454
2458,568.59454
2459,568.59454
2460,568.59454
2461,568.59454
2462,568.59454
2463,568.59454
2464,568.59454
2465,568.59454
2466,568.59454
2467,568.59454
2468,568.59454
2469,568.59454
2470,568.59454
2471,568.59454
2472,568.59454
2473,568.59454
2474,568.59454
2475,568.59454
2476,568.59454
2477,568.59454
2478,568.59454
2479,568.59454
2480,568.59454
2481,568.59454
2482,568.59454
2483,568.59454
2484,568.59454
2485,568.59454
2486,568.59454
2487,568.59454
2488,568.59454
2489,568.59454
2490,568.59454
2491,568.59454
2492,568.59454
2493,568.59454
2494,568.59454
2495,568.59454
2496,568.59454
2497,568.59454
2498,568.59454
2499,568.59454
2500,568.59454
