Year,Emissions.HFC134a eq Emissions,Ozone Forcing.Montreal gases equivalent effective stratospheric chlorine,Minor GHGs Forcing.Montreal Gases Effective Radiative Forcing,Emissions.CO Emissions,Emissions.CO2 Emissions from Fossil use,Emissions.Total NOx Emissions,Emissions.Total SO2 Emissions,Emissions.VOC Emissions,N2O Forcing.Atmos N2O exogenous,CH4 Forcing.Atmos CH4 exogenous
2063,1058.6629526382214,864.2065393518297,0.17472041241780492,630.9252559220375,40449.46670066247,103.58884081376264,44.77558139970955,174.43349372659975,365.1329803466797,1912.9895121256511
2064,1064.7334315825976,855.2177259735058,0.17232732781922916,623.3087540382575,40020.48890766078,102.5367661160004,44.36685633344171,172.7090070015652,365.7409795125325,1903.789520263672
2065,1070.7377249482709,846.4092033024837,0.16999055483063594,615.6922521544773,39591.51111465909,101.4846914182382,43.95813126717388,170.98452027653065,366.33497619628906,1894.8595275878904
2066,1076.678262381898,837.7673522934656,0.16770702210695745,608.0757502706972,39162.5333216574,100.43261672047598,43.54940620090604,169.26003355149612,366.91497802734375,1886.1695760091145
2067,1082.5570265884626,829.2834336271968,0.1654739141131014,600.4592483869171,38733.555528655714,99.38054202271375,43.1406811346382,167.53554682646157,367.4809799194336,1877.7095743815105
2068,1088.375727113344,820.9504956147982,0.16328863069534172,592.842746503137,38304.57773565403,98.32846732495152,42.731956068370366,165.81106010142702,368.03397369384766,1869.4595845540364
2069,1094.1358963943437,812.762388413393,0.16114876365704514,585.2262446193569,37875.59994265234,97.27639262718932,42.32323100210253,164.0865733763925,368.5729802449544,1861.4295857747395
2070,1099.83894381037,804.7134372833955,0.15905207941840488,577.6097427355768,37446.622149650655,96.2243179294271,41.91450593583469,162.3620866513579,369.09897867838544,1853.579600016276
2071,1105.4861869093588,796.7983238751594,0.1569965044262583,569.9106122339339,36725.531764401065,95.61136559337672,41.5736346182542,160.78223455750415,369.6109771728516,1845.909596761068
2072,1110.3275393423528,788.4366543059682,0.15497780140480014,562.2114817322908,36004.441379151474,94.99841325732632,41.232763300673696,159.20238246365042,370.1059748331706,1838.3395894368489
2073,1115.0653819620572,780.0331968639252,0.1529979924093793,554.5123512306479,35283.35099390189,94.38546092127594,40.8918919830932,157.62253036979666,370.5819778442383,1830.789581298828
2074,1119.7065463962417,771.709676116727,0.15105624218521768,546.813220729005,34562.2606086523,93.77250858522554,40.5510206655127,156.04267827594293,371.0379740397136,1823.2595825195312
2075,1124.2554387510954,763.5005274332368,0.14915112437085934,539.1140902273621,33841.17022340271,93.15955624917515,40.21014934793221,154.46282618208917,371.474978129069,1815.7495930989585
2076,1128.7151504027104,755.4132643063085,0.14728113160096543,531.4149597257191,33120.07983815312,92.54660391312476,39.86927803035172,152.8829740882354,371.89098358154297,1808.259592692057
2077,1133.0880526509181,747.4471748086978,0.14544480552477793,523.7158292240762,32398.989452903534,91.93365157707436,39.528406712771215,151.30312199438168,372.28897857666016,1800.7995910644531
2078,1137.3761151104284,739.5991312071994,0.14364076957287142,516.0166987224333,31677.899067653943,91.320699241024,39.18753539519072,149.72326990052792,372.66698201497394,1793.3695882161458
2079,1141.5810762401775,731.8653960412935,0.14186773397651495,508.3175682207903,30956.80868240436,90.7077469049736,38.84666407761022,148.1434178066742,373.026980082194,1785.9695841471355
2080,1145.7045347431804,724.2421792644627,0.14012449261229548,500.6184377191473,30235.718297154766,90.0947945689232,38.50579276002973,146.56356571282043,373.3669738769531,1778.599599202474
2081,1149.7479986279186,716.725804563302,0.13840991762350946,493.4012823434528,29276.29783413856,89.38934556985329,37.9713007622076,144.96699508621415,373.6889801025391,1771.2696228027344
2082,1154.950119610608,710.3966656186636,0.13673830977014143,486.1841269677582,28316.877371122344,88.68389657078339,37.43680876438546,143.37042445960788,373.9949773152669,1764.1496683756511
2083,1160.0863110075386,704.511212958097,0.1350980190432971,478.9669715920636,27357.45690810613,87.97844757171347,36.90231676656333,141.7738538330016,374.28597768147785,1757.40966796875
2084,1165.165722334988,698.8366062159654,0.1334857646663143,471.749816216369,26398.03644508992,87.27299857264357,36.3678247687412,140.17728320639532,374.5639801025391,1751.0296732584636
2085,1170.1937670517545,693.2979994304415,0.13190001088408612,464.53266084067445,25438.615982073712,86.56754957357366,35.833332770919064,138.580712579789,374.8289794921875,1744.979715983073
2086,1175.1738348685515,687.8697348039248,0.13033969311773075,457.3155054649799,24479.195519057503,85.86210057450374,35.298840773096934,136.98414195318273,375.0799789428711,1739.239735921224
