Year,Emissions.HFC134a eq Emissions,Ozone Forcing.Montreal gases equivalent effective stratospheric chlorine,Minor GHGs Forcing.Montreal Gases Effective Radiative Forcing,Emissions.Total CH4 Emissions,Emissions.CO Emissions,Emissions.CO2 Emissions from Fossil use,Emissions.Total N2O Emissions,Emissions.Total NOx Emissions,Emissions.Total SO2 Emissions,Emissions.VOC Emissions
1750,0.0,344.3627591056,0.0,26.62406680955776,341.32372529633767,8.734585078970957,999.0963115441824,19.196588964296456,2.2976586429851644,59.42636625764753
1751,0.0029966534005628456,358.7405810685125,3.1543820807089908e-06,26.670120189809403,341.5066752391748,8.734585078970975,999.7699644597355,19.19708165091417,2.2990388209777097,59.44588529447377
1752,0.0032031744236479067,363.2068062780422,2.058786676055248e-05,26.91591638076177,345.4315160015933,8.738007722027005,1009.9797352600192,19.236554588388746,2.327235907757212,60.241065494532464
1753,0.0034096913164995634,364.5968352578152,2.8409591095297477e-05,26.946179445936075,345.3543606428341,8.738007722027005,1010.0426325859554,19.24569637658004,2.326136787970147,60.20449216194155
1754,0.00361620407895382,365.02786121838795,3.1150387647066226e-05,26.98821707795362,345.2285634574602,8.741430365083053,1009.49502099575,19.19116549170684,2.3254778044630937,60.178877137134506
1755,0.0038227127111502305,365.1587551223756,3.1966386860835845e-05,27.14591615977225,348.05000012812263,8.74485300813905,1016.7597914534864,19.35590961448722,2.344541741858448,60.70786412246298
1756,0.004029217213297034,365.19548768609775,3.21194906321827e-05,27.24131686537613,349.6982789484403,9.347238185999103,1022.016287527495,19.490907443804875,2.3630151663819245,60.99320414034737
1757,0.0042357175854185625,365.20272278127345,3.205466225128684e-05,27.295424149824072,350.0315412888838,9.350660829055132,1022.2667602416728,19.52587797197172,2.3632921698830387,61.03091459462969
1758,0.004442213827534725,365.20083801646945,3.192210096699051e-05,27.404629859931426,351.28110902000526,9.354083472111174,1025.396326087323,19.509020528870884,2.371856333996672,61.27891754336879
1759,0.004648705939789505,365.1962720119097,3.177155647524267e-05,27.527546216829,353.5542737414641,9.357506115167173,1031.8666238833498,19.677266729389352,2.388136179624661,61.68929285501021
1760,0.004855193922267064,365.1910585841617,3.161927530077912e-05,27.53564429878339,352.215496864317,9.357506115167167,1028.011368870045,19.48242605500773,2.378051763062037,61.44518864946315
1761,0.005061677774794542,365.18583467691917,3.1470428798447144e-05,27.582773429622986,351.8753425932803,10.250815952789228,1026.477326851515,19.37665512270072,2.384813901867977,61.38701233329634
1762,0.005268157498080923,365.18079308787827,3.132654518639406e-05,27.52444738340648,349.97165500035084,10.254238595845226,1021.9870074056224,19.32209636429861,2.3706042890307266,60.98774210289027
1763,0.0054746330914658995,365.1759853389289,3.118796139008902e-05,27.540893655679696,349.667064939637,10.257661238901257,1021.5363206326224,19.3292744083362,2.3688513017826165,60.90573034881624
1764,0.005681104555649586,365.17141826998966,3.1054630237315357e-05,27.534554415044447,348.5918564946079,10.261083881957273,1018.80830915649,19.26517052691668,2.3609138398948453,60.68300363309751
1765,0.0058875718902198304,365.1670849219705,3.092638575209176e-05,27.556332947802588,348.65539589392694,10.264506525013292,1019.5150388080232,19.3398711234943,2.359452985075862,60.65815346436226
1766,0.006094035095564346,365.1629744181844,3.080303006550906e-05,27.69666936516255,351.2051833168148,11.45216366545333,1026.6187686480073,19.53485047045424,2.3891946664128683,61.11033501391548
1767,0.006300494171835984,365.1590751140624,3.068436163945276e-05,27.85223436525701,353.79160368363785,11.455586308509346,1033.7824520021695,19.620376500449908,2.4082014523217894,61.61510839557384
1768,0.006506949118742225,365.1553755842355,3.057018419812385e-05,27.90182487361247,354.267431278976,11.459008951565362,1035.6676449041506,19.668988233876284,2.412920142236901,61.684787309350014
1769,0.006713399936670785,365.1518649141971,3.04603093306268e-05,27.921465283169937,353.8606726925466,11.462431594621396,1035.1546965355312,19.62606384472905,2.4117512393034053,61.591714786636096
1770,0.006919846625646011,365.14853276890346,3.0354557029454752e-05,27.903132649509665,352.6643670162634,11.465854237677425,1032.6541890844658,19.55688989434736,2.4051339822854825,61.34383170968268
1771,0.0071262891857520475,365.1453693906916,3.025275556729741e-05,27.860273582816674,349.5071282588181,12.715118953125844,1024.490734864717,19.312662886764866,2.392603060277079,60.678903118001
1772,0.007332727616944554,365.1423655757203,3.0154741172684658e-05,27.9734218321202,350.2053542342828,12.718541596181858,1027.416054542055,19.289060019180454,2.395746881793693,60.765742437436806
1773,0.007539161919555845,365.1395126447958,3.006035765507239e-05,28.0451214881866,350.13242425346834,12.721964239237904,1027.7708078653848,19.27882379540378,2.3920668267453213,60.68643877570169
1774,0.0077455920933576635,365.13680241365375,2.9969456028033075e-05,28.14399573728077,350.32895090465166,12.72538688229392,1028.3754987673333,19.21146123225103,2.392161621672648,60.68353624022821
