Year,Emissions.HFC134a eq Emissions,Ozone Forcing.Montreal gases equivalent effective stratospheric chlorine,Minor GHGs Forcing.Montreal Gases Effective Radiative Forcing,Emissions.CO Emissions,Emissions.Total NOx Emissions,Emissions.Total SO2 Emissions,Emissions.VOC Emissions,N2O Forcing.Atmos N2O exogenous,CH4 Forcing.Atmos CH4 exogenous,CO2 Forcing.Atmos CO2 exogenous
1750,0.0,344.3627591056,0.0,406.2903038989944,19.196588964296456,2.2976586429851644,67.30101512737843,271.57,798.79926,284.29727
1751,0.0,344.3627591056,0.0,406.2903038989944,19.19708165091417,2.2990388209777097,67.30101512737843,271.57,798.79926,284.29727
1752,0.0,344.3627591056,0.0,406.2903038989944,19.236554588388746,2.327235907757212,67.30101512737843,271.57,798.79926,284.29727
1753,0.0,344.3627591056,0.0,406.2903038989944,19.24569637658004,2.326136787970147,67.30101512737843,271.57,798.79926,284.29727
1754,0.0,344.3627591056,0.0,406.2903038989944,19.19116549170684,2.3254778044630937,67.30101512737843,271.57,798.79926,284.29727
1755,0.0,344.3627591056,0.0,406.2903038989944,19.35590961448722,2.344541741858448,67.30101512737843,271.57,798.79926,284.29727
1756,0.0,344.3627591056,0.0,406.2903038989944,19.490907443804875,2.3630151663819245,67.30101512737843,271.57,798.79926,284.29727
1757,0.0,344.3627591056,0.0,406.2903038989944,19.52587797197172,2.3632921698830387,67.30101512737843,271.57,798.79926,284.29727
1758,0.0,344.3627591056,0.0,406.2903038989944,19.509020528870884,2.371856333996672,67.30101512737843,271.57,798.79926,284.29727
1759,0.0,344.3627591056,0.0,406.2903038989944,19.677266729389352,2.388136179624661,67.30101512737843,271.57,798.79926,284.29727
1760,0.0,344.3627591056,0.0,406.2903038989944,19.48242605500773,2.378051763062037,67.30101512737843,271.57,798.79926,284.29727
1761,0.0,344.3627591056,0.0,406.2903038989944,19.37665512270072,2.384813901867977,67.30101512737843,271.57,798.79926,284.29727
1762,0.0,344.3627591056,0.0,406.2903038989944,19.32209636429861,2.3706042890307266,67.30101512737843,271.57,798.79926,284.29727
1763,0.0,344.3627591056,0.0,406.2903038989944,19.3292744083362,2.3688513017826165,67.30101512737843,271.57,798.79926,284.29727
1764,0.0,344.3627591056,0.0,406.2903038989944,19.26517052691668,2.3609138398948453,67.30101512737843,271.57,798.79926,284.29727
1765,0.0,344.3627591056,0.0,406.2903038989944,19.3398711234943,2.359452985075862,67.30101512737843,271.57,798.79926,284.29727
1766,0.0,344.3627591056,0.0,406.2903038989944,19.53485047045424,2.3891946664128683,67.30101512737843,271.57,798.79926,284.29727
1767,0.0,344.3627591056,0.0,406.2903038989944,19.620376500449908,2.4082014523217894,67.30101512737843,271.57,798.79926,284.29727
1768,0.0,344.3627591056,0.0,406.2903038989944,19.668988233876284,2.412920142236901,67.30101512737843,271.57,798.79926,284.29727
1769,0.0,344.3627591056,0.0,406.2903038989944,19.62606384472905,2.4117512393034053,67.30101512737843,271.57,798.79926,284.29727
1770,0.0,344.3627591056,0.0,406.2903038989944,19.55688989434736,2.4051339822854825,67.30101512737843,271.57,798.79926,284.29727
1771,0.0,344.3627591056,0.0,406.2903038989944,19.312662886764866,2.392603060277079,67.30101512737843,271.57,798.79926,284.29727
1772,0.0,344.3627591056,0.0,406.2903038989944,19.289060019180454,2.395746881793693,67.30101512737843,271.57,798.79926,284.29727
1773,0.0,344.3627591056,0.0,406.2903038989944,19.27882379540378,2.3920668267453213,67.30101512737843,271.57,798.79926,284.29727
1774,0.0,344.3627591056,0.0,406.2903038989944,19.21146123225103,2.392161621672648,67.30101512737843,271.57,798.79926,284.29727
1775,0.0,344.3627591056,0.0,406.2903038989944,19.33619701108752,2.4078699516606807,67.30101512737843,271.57,798.79926,284.29727
1776,0.0,344.3627591056,0.0,406.2903038989944,19.56358584428757,2.4444542527515107,67.30101512737843,271.57,798.79926,284.29727
1777,0.0,344.3627591056,0.0,406.2903038989944,19.535758764488897,2.4372582593563967,67.30101512737843,271.57,798.79926,284.29727
1778,0.0,344.3627591056,0.0,406.2903038989944,19.487286588893443,2.444344394507457,67.30101512737843,271.57,798.79926,284.29727
1779,0.0,344.3627591056,0.0,406.2903038989944,19.630405779092246,2.460620147287915,67.30101512737843,271.57,798.79926,284.29727
1780,0.0,344.3627591056,0.0,406.2903038989944,19.48429956067552,2.4563845052234488,67.30101512737843,271.57,798.79926,284.29727
1781,0.0,344.3627591056,0.0,406.2903038989944,19.250922213838454,2.460422245175664,67.30101512737843,271.57,798.79926,284.29727
1782,0.0,344.3627591056,0.0,406.2903038989944,19.21920025413464,2.451830681230476,67.30101512737843,271.57,798.79926,284.29727
1783,0.0,344.3627591056,0.0,406.2903038989944,19.16826748942274,2.4470445251962425,67.30101512737843,271.57,798.79926,284.29727
1784,0.0,344.3627591056,0.0,406.2903038989944,19.071921074550296,2.437114861536795,67.30101512737843,271.57,798.79926,284.29727
1785,0.0,344.3627591056,0.0,406.2903038989944,19.162624246503903,2.4407388520140887,67.30101512737843,271.57,798.79926,284.29727
1786,0.0,344.3627591056,0.0,406.2903038989944,19.415555861679533,2.4858289544840924,67.30101512737843,271.57,798.79926,284.29727
1787,0.0,344.3627591056,0.0,406.2903038989944,19.49059361764605,2.504644552545802,67.30101512737843,271.57,798.79926,284.29727
1788,0.0,344.3627591056,0.0,406.2903038989944,19.60587321311782,2.5137050043392306,67.30101512737843,271.57,798.79926,284.29727
1789,0.0,344.3627591056,0.0,406.2903038989944,19.626709513303684,2.5180611720878447,67.30101512737843,271.57,798.79926,284.29727
1790,0.0,344.3627591056,0.0,406.2903038989944,19.59214310704659,2.514087578704544,67.30101512737843,271.57,798.79926,284.29727
1791,0.0,344.3627591056,0.0,406.2903038989944,19.35096776084627,2.5092824921685604,67.30101512737843,271.57,798.79926,284.29727
1792,0.0,344.3627591056,0.0,406.2903038989944,19.341463908532663,2.519386342093944,67.30101512737843,271.57,798.79926,284.29727
1793,0.0,344.3627591056,0.0,406.2903038989944,19.32191408740253,2.5152995013250043,67.30101512737843,271.57,798.79926,284.29727
1794,0.0,344.3627591056,0.0,406.2903038989944,19.221600729822413,2.512439135473432,67.30101512737843,271.57,798.79926,284.29727
1795,0.0,344.3627591056,0.0,406.2903038989944,19.31004191716008,2.524769601762641,67.30101512737843,271.57,798.79926,284.29727
1796,0.0,344.3627591056,0.0,406.2903038989944,19.52911444001876,2.555185312583688,67.30101512737843,271.57,798.79926,284.29727
1797,0.0,344.3627591056,0.0,406.2903038989944,19.50934031797159,2.5614556116551737,67.30101512737843,271.57,798.79926,284.29727
1798,0.0,344.3627591056,0.0,406.2903038989944,19.456138472783216,2.576859026649476,67.30101512737843,271.57,798.79926,284.29727
1799,0.0,344.3627591056,0.0,406.2903038989944,19.62883042377792,2.601064462062511,67.30101512737843,271.57,798.79926,284.29727
1800,0.0,344.3627591056,0.0,406.2903038989944,19.497659578434583,2.614904805024428,67.30101512737843,271.57,798.79926,284.29727
1801,0.0,344.3627591056,0.0,406.2903038989944,19.252095660543137,2.601579189964004,67.30101512737843,271.57,798.79926,284.29727
1802,0.0,344.3627591056,0.0,406.2903038989944,19.24840742437613,2.634774837101076,67.30101512737843,271.57,798.79926,284.29727
1803,0.0,344.3627591056,0.0,406.2903038989944,19.21494849519759,2.625017220849708,67.30101512737843,271.57,798.79926,284.29727
1804,0.0,344.3627591056,0.0,406.2903038989944,19.16796504619456,2.634247629744923,67.30101512737843,271.57,798.79926,284.29727
1805,0.0,344.3627591056,0.0,406.2903038989944,19.259556534265155,2.6438513229681564,67.30101512737843,271.57,798.79926,284.29727
1806,0.0,344.3627591056,0.0,406.2903038989944,19.558546404760875,2.688457876623987,67.30101512737843,271.57,798.79926,284.29727
