,forest_to_forest,forest_to_grass,forest_to_cropland,forest_to_degraded,grass_to_forest,grass_to_grass,grass_to_cropland,grass_to_degraded,cropland_to_forest,cropland_to_grass,cropland_to_cropland,cropland_to_degraded,degraded_to_forest,degraded_to_grass,degraded_to_cropland,degraded_to_degraded
2100.0,0.0,0.0,8.793610354804994,0.0,0.0,0.0,9.322351377677919,0.0,8.793607592773437,9.322348181152345,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2101.0,0.0,0.0,8.793604104423524,0.0,0.0,0.0,9.32234104204178,0.0,8.793605786132813,9.32234324951172,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2102.0,0.0,0.0,8.793604659080506,0.0,0.0,0.0,9.322340927696228,0.0,8.7936048828125,9.322341076660157,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2103.0,0.0,0.0,8.793604216194153,0.0,0.0,0.0,9.322341159152984,0.0,8.793604858398439,9.322341467285156,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2104.0,0.0,0.0,8.79360441493988,0.0,0.0,0.0,9.322341059207917,0.0,8.793604858398439,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2105.0,0.0,0.0,8.793604455566406,0.0,0.0,0.0,9.322340993213654,0.0,8.793604467773438,9.322341076660157,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2106.0,0.0,0.0,8.793604264640809,0.0,0.0,0.0,9.322340759181976,0.0,8.793604467773438,9.322341076660157,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2107.0,0.0,0.0,8.793604098129272,0.0,0.0,0.0,9.32234072265625,0.0,8.793604467773438,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2108.0,0.0,0.0,8.79360435142517,0.0,0.0,0.0,9.322340844535828,0.0,8.793604467773438,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2109.0,0.0,0.0,8.793604438781738,0.0,0.0,0.0,9.322340918540956,0.0,8.793604467773438,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2110.0,0.0,0.0,8.79360439300537,0.0,0.0,0.0,9.322340898799897,0.0,8.793604467773438,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2111.0,0.0,0.0,8.793604539871215,0.0,0.0,0.0,9.322341021060943,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2112.0,0.0,0.0,8.793604256820679,0.0,0.0,0.0,9.322341012477876,0.0,8.793604467773438,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2113.0,0.0,0.0,8.793604439926147,0.0,0.0,0.0,9.322340817880631,0.0,8.793604467773438,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2114.0,0.0,0.0,8.79360421295166,0.0,0.0,0.0,9.322341170072557,0.0,8.793604467773438,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2115.0,0.0,0.0,8.793604418754578,0.0,0.0,0.0,9.322341133832932,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2116.0,0.0,0.0,8.793604287147524,0.0,0.0,0.0,9.322340957164764,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2117.0,0.0,0.0,8.793604347991943,0.0,0.0,0.0,9.322341282844544,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2118.0,0.0,0.0,8.79360445728302,0.0,0.0,0.0,9.322340894937517,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2119.0,0.0,0.0,8.793604424858094,0.0,0.0,0.0,9.322341140460969,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2120.0,0.0,0.0,8.793604207229615,0.0,0.0,0.0,9.322340684366226,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2121.0,0.0,0.0,8.793604403686523,0.0,0.0,0.0,9.322340991783141,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2122.0,0.0,0.0,8.793604333782197,0.0,0.0,0.0,9.322340913391114,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2123.0,0.0,0.0,8.793604480171204,0.0,0.0,0.0,9.32234115691185,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2124.0,0.0,0.0,8.79360421228409,0.0,0.0,0.0,9.322340950918198,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2125.0,0.0,0.0,8.793604362773895,0.0,0.0,0.0,9.322340858173371,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2126.0,0.0,0.0,8.793604271888732,0.0,0.0,0.0,9.322340861272812,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2127.0,0.0,0.0,8.79360426311493,0.0,0.0,0.0,9.32234076757431,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2128.0,0.0,0.0,8.793604296684265,0.0,0.0,0.0,9.322341059923172,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2129.0,0.0,0.0,8.79360453042984,0.0,0.0,0.0,9.322341113996506,0.0,8.793604370117189,9.322341076660157,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2130.0,0.0,0.0,8.793604697704316,0.0,0.0,0.0,9.3223408929348,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2131.0,0.0,0.0,8.793604320240021,0.0,0.0,0.0,9.322340611600875,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2132.0,0.0,0.0,8.793604138183595,0.0,0.0,0.0,9.322340886354448,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2133.0,0.0,0.0,8.793604246807098,0.0,0.0,0.0,9.322340865278244,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2134.0,0.0,0.0,8.793604418563843,0.0,0.0,0.0,9.322340842914583,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2135.0,0.0,0.0,8.793604275608063,0.0,0.0,0.0,9.322341009521484,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2136.0,0.0,0.0,8.79360433216095,0.0,0.0,0.0,9.322340832901,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2137.0,0.0,0.0,8.793604201698303,0.0,0.0,0.0,9.32234087791443,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2138.0,0.0,0.0,8.79360446138382,0.0,0.0,0.0,9.322340820503236,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2139.0,0.0,0.0,8.793604511928558,0.0,0.0,0.0,9.322340910863877,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2140.0,0.0,0.0,8.793604640674591,0.0,0.0,0.0,9.322340885114672,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2141.0,0.0,0.0,8.793604440879822,0.0,0.0,0.0,9.322341026639938,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2142.0,0.0,0.0,8.79360441055298,0.0,0.0,0.0,9.322340756464005,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2143.0,0.0,0.0,8.793604583454131,0.0,0.0,0.0,9.322340900516512,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2144.0,0.0,0.0,8.793604404544832,0.0,0.0,0.0,9.322340843629837,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2145.0,0.0,0.0,8.793604310894013,0.0,0.0,0.0,9.322340944194796,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2146.0,0.0,0.0,8.793604246616363,0.0,0.0,0.0,9.322340875768662,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2147.0,0.0,0.0,8.793604333400728,0.0,0.0,0.0,9.322340657043457,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2148.0,0.0,0.0,8.793604482841491,0.0,0.0,0.0,9.322341105794907,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2149.0,0.0,0.0,8.793604343700409,0.0,0.0,0.0,9.322340839481354,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2150.0,0.0,0.0,8.793604487991335,0.0,0.0,0.0,9.322340754032135,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2151.0,0.0,0.0,8.79360453310013,0.0,0.0,0.0,9.322341217422485,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2152.0,0.0,0.0,8.793604295635223,0.0,0.0,0.0,9.322340749597549,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2153.0,0.0,0.0,8.793604511356355,0.0,0.0,0.0,9.32234095749855,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2154.0,0.0,0.0,8.793604091835022,0.0,0.0,0.0,9.322341131448745,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2155.0,0.0,0.0,8.79360445113182,0.0,0.0,0.0,9.322341033220292,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2156.0,0.0,0.0,8.793604566431044,0.0,0.0,0.0,9.322340713739395,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2157.0,0.0,0.0,8.79360470366478,0.0,0.0,0.0,9.322341070127488,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2158.0,0.0,0.0,8.793604173612595,0.0,0.0,0.0,9.322341039133072,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2159.0,0.0,0.0,8.793604452562333,0.0,0.0,0.0,9.322340651226044,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2160.0,0.0,0.0,8.793604311656953,0.0,0.0,0.0,9.322340953779221,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2161.0,0.0,0.0,8.7936042491436,0.0,0.0,0.0,9.322340753316881,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2162.0,0.0,0.0,8.793604254674912,0.0,0.0,0.0,9.322340852117538,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2163.0,0.0,0.0,8.793604185104371,0.0,0.0,0.0,9.322340765047073,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2164.0,0.0,0.0,8.793604498815537,0.0,0.0,0.0,9.322340722131731,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2165.0,0.0,0.0,8.793604202270508,0.0,0.0,0.0,9.322340880918503,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2166.0,0.0,0.0,8.793604141998292,0.0,0.0,0.0,9.322341249418258,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2167.0,0.0,0.0,8.793604350900651,0.0,0.0,0.0,9.322340953540802,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2168.0,0.0,0.0,8.793604149484635,0.0,0.0,0.0,9.322340953159332,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2169.0,0.0,0.0,8.793604221963884,0.0,0.0,0.0,9.322340887737274,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2170.0,0.0,0.0,8.793604266500473,0.0,0.0,0.0,9.322341005039215,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2171.0,0.0,0.0,8.79360438246727,0.0,0.0,0.0,9.322341054821015,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2172.0,0.0,0.0,8.793604527378083,0.0,0.0,0.0,9.32234098596573,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2173.0,0.0,0.0,8.793604433679581,0.0,0.0,0.0,9.322340951633453,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2174.0,0.0,0.0,8.793604232883455,0.0,0.0,0.0,9.322340798068046,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2175.0,0.0,0.0,8.793604320764542,0.0,0.0,0.0,9.322340736722946,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2176.0,0.0,0.0,8.793604262590408,0.0,0.0,0.0,9.322341058158875,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2177.0,0.0,0.0,8.793604286909103,0.0,0.0,0.0,9.322341008234025,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2178.0,0.0,0.0,8.793604184007645,0.0,0.0,0.0,9.322340993189812,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2179.0,0.0,0.0,8.793604205703735,0.0,0.0,0.0,9.322341042637825,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2180.0,0.0,0.0,8.793604596281053,0.0,0.0,0.0,9.3223408005476,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2181.0,0.0,0.0,8.793604595184327,0.0,0.0,0.0,9.32234099612236,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2182.0,0.0,0.0,8.793604487085343,0.0,0.0,0.0,9.322341034412386,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2183.0,0.0,0.0,8.793604236412047,0.0,0.0,0.0,9.322340845251084,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
2184.0,0.0,0.0,8.793604326248168,0.0,0.0,0.0,9.322340920734405,0.0,8.793604370117189,9.322340881347657,137.57914804687502,0.0,0.0,0.0,0.0,0.0
