,Global Mean Surface Temperature (GMST),Ocean Heat Content|Global|Total,Atmospheric Concentrations|CO2,Carbon Flux to Oceans,Carbon Flux to Land,Effective Radiative Forcing|Aerosols,ECS,TCR
71777,1.3385441451253335,335.6534820457182,412.1332932256,3.0585552625159997,2.5733050972680003,-1.2650853631560002,2.080825921053498,1.5807334895894314
59698,1.5248134271983547,557.154218980723,411.2328462411,2.819700664279,3.2416764415759998,-1.3676717092255,6.3792647981037165,2.402745171784969
26981,1.3197849111625688,688.3082327767099,412.1743311133,3.1788045158269997,2.821275031153,-0.8979535187657,5.0611250811017685,2.056331202807227
87616,1.2819622466297702,205.098985121212,411.65585700500003,3.005833958507,2.7220890965119997,-1.18415628195,2.9682369214046496,2.497277668775378
28187,1.452117865701462,412.46585204715797,410.38266483079997,3.0847260351959997,2.632593583347,-1.2950601692319,3.0757866100915026,1.9697896028688664
29265,1.1744553662747306,461.73927426263003,408.83307638910003,3.146110009839,2.9110233433330004,-0.5265674402606,3.522299168817809,1.8426287460237345
54718,1.532198184824086,698.9914318459801,412.44698970999997,3.013226011227,2.6985562158649996,-0.8885865792854999,5.405684533493903,2.1589081251232827
62296,1.3972116263570524,617.3386060396101,411.0331167816,2.9869814483679997,2.796992845139,-0.5709957970525,4.477203440890209,2.125285659174439
20957,1.4349396921781121,683.9565750044301,408.8231132586001,3.1277527643770004,2.51180002116,-0.638343245387,4.8908139598721,2.2734422818394515
19052,1.4923981956275034,570.7817591962851,412.03879788539996,2.9874119952599996,2.7268257161409997,-1.38280122303795,7.160272086267375,2.7611251047019283
73468,1.3468638939996227,635.5368836089,410.45282330709995,2.8520022887600005,3.1629422589660003,-0.4900837289901,3.784087686347436,1.8571841654106296
56369,1.3001894167129837,580.8752971749,411.8528863403,3.2765659115329995,2.3816727895699996,-0.5692883135341,5.187474996684365,2.1468987387496647
97832,1.3602147986830408,493.1343007773,412.1770293056,3.0592764846269995,2.6621741750959997,-0.5872168917967,1.9481312868040623,1.3740421414078343
45942,1.3468489168610471,184.31267633578798,408.93712501819994,3.1613394470580003,2.6890727572940003,-0.58863467673851,1.328992827725611,1.1979469484063512
99468,1.420585689650429,453.63274009899294,410.9648258104,2.6951092240990002,3.314230129629,-0.8291849588708999,3.5661071707363843,2.412787197037888
72301,1.468438810463792,637.08469938932,410.44193321,3.1437820727,2.454702240933,-0.5559251083547,4.449206868640184,2.081660863092856
42686,1.413359519459287,632.54091247984,412.6374677702,2.8372806065839997,2.8728217951910002,-0.5721664265469001,4.281222645916263,2.017026443992397
57480,1.4302436515610844,745.4582245510401,411.2282534762,2.65154415641,3.094579104924,-0.59981236674944,4.882499888329493,2.2163071077408327
