,wood_harvest_biomass
2100.0,0.9014650075696409
2101.0,0.9014650022145361
2102.0,0.9014650259632617
2103.0,0.9014650161843747
2104.0,0.9014650234021246
2105.0,0.9014650206081569
2106.0,0.9014650078024715
2107.0,0.9014650180470198
2108.0,0.9014649759046733
2109.0,0.9014650299213827
2110.0,0.9014650341123343
2111.0,0.901465006172657
2112.0,0.9014650483150035
2113.0,0.9014649873133749
2114.0,0.9014650238677859
2115.0,0.9014649868477136
2116.0,0.9014649810269475
2117.0,0.901465023169294
2118.0,0.9014649733435363
2119.0,0.9014650352764875
2120.0,0.901465002913028
2121.0,0.90146503620781
2122.0,0.9014650187455118
2123.0,0.9014650371391326
2124.0,0.9014650052413344
2125.0,0.9014649873133749
2126.0,0.9014650247991085
2127.0,0.9014650252647698
2128.0,0.9014650459866971
2129.0,0.9014650320168585
2130.0,0.9014650033786893
2131.0,0.9014650322496891
2132.0,0.9014650194440037
2133.0,0.9014650227036327
2134.0,0.9014650324825197
2135.0,0.9014650171156973
2136.0,0.9014650045428425
2137.0,0.9014650525059551
2138.0,0.9014650497119874
2139.0,0.901465029688552
2140.0,0.9014649908058345
2141.0,0.9014650580938905
2142.0,0.9014650152530521
2143.0,0.9014650380704552
2144.0,0.9014649938326329
2145.0,0.9014649917371571
2146.0,0.9014650213066489
2147.0,0.9014650364406407
2148.0,0.9014650213066489
2149.0,0.9014650501776487
2150.0,0.9014649945311248
2151.0,0.901465015951544
2152.0,0.9014650459866971
2153.0,0.9014650534372777
2154.0,0.901465036906302
2155.0,0.9014650322496891
2156.0,0.9014650308527052
2157.0,0.9014650464523584
2158.0,0.9014650181634352
2159.0,0.9014650047756732
2160.0,0.9014650421449915
2161.0,0.9014650250319391
2162.0,0.9014650121098384
2163.0,0.901465039467439
2164.0,0.9014650317840278
2165.0,0.9014650477329269
2166.0,0.9014650339959189
2167.0,0.9014650345779955
2168.0,0.9014650505268946
2169.0,0.9014650563476607
2170.0,0.9014650217723101
2171.0,0.901465020258911
2172.0,0.9014650060562417
2173.0,0.9014650384197012
2174.0,0.9014650342287496
2175.0,0.9014650075696409
2176.0,0.9014650174649432
2177.0,0.9014650254976004
2178.0,0.9014650386525318
2179.0,0.9014650188619271
2180.0,0.9014650250319391
2181.0,0.9014650487806648
2182.0,0.9014650147873908
2183.0,0.9014650343451649
2184.0,0.9014650247991085
2185.0,0.9014650074532256
2186.0,0.9014650339959189
2187.0,0.9014650292228907
2188.0,0.9014650221215561
2189.0,0.9014650493627414
2190.0,0.9014650359749794
2191.0,0.9014650552999228
2192.0,0.9014650175813586
2193.0,0.9014650192111731
2194.0,0.9014650071039796
2195.0,0.9014650030294433
2196.0,0.9014650211902335
2197.0,0.901465046335943
2198.0,0.9014650330645964
2199.0,0.9014650027966127
2200.0,0.9014650150202215
2201.0,0.9014650242170319
2202.0,0.9014650445897132
2203.0,0.9014650310855359
2204.0,0.9014650427270681
2205.0,0.9014650041935965
2206.0,0.901465056813322
2207.0,0.9014650209574029
2208.0,0.9014649930177256
2209.0,0.9014650323661044
2210.0,0.9014650410972536
2211.0,0.9014650488970801
2212.0,0.9014650176977739
2213.0,0.901465036557056
2214.0,0.9014650380704552
2215.0,0.9014650214230642
2216.0,0.9014650309691206
2217.0,0.9014650216558948
2218.0,0.9014650001190603
2219.0,0.9014650183962658
2220.0,0.9014650087337941
2221.0,0.9014649930177256
2222.0,0.9014650230528787
2223.0,0.9014650088502094
2224.0,0.9014650320168585
2225.0,0.9014650547178462
2226.0,0.901465039467439
2227.0,0.901465030387044
2228.0,0.9014650493627414
2229.0,0.901465006521903
2230.0,0.9014650060562417
2231.0,0.9014650174649432
2232.0,0.901465032948181
2233.0,0.9014650370227173
2234.0,0.9014650222379714
2235.0,0.9014650325989351
2236.0,0.901465030387044
2237.0,0.901465022820048
2238.0,0.9014650393510237
2239.0,0.9014650197932497
2240.0,0.9014650013996288
2241.0,0.9014650353929028
2242.0,0.901465002563782
2243.0,0.9014650216558948
2244.0,0.9014650178141892
2245.0,0.9014650352764875
2246.0,0.9014650515746325
2247.0,0.9014650214230642
2248.0,0.9014650487806648
2249.0,0.901465036557056
2250.0,0.9014650142053142
2251.0,0.9014650110621005
2252.0,0.9014650343451649
2253.0,0.9014650165336207
2254.0,0.901465009781532
2255.0,0.9014650208409876
2256.0,0.9014650420285761
2257.0,0.9014650507597253
2258.0,0.901465046685189
2259.0,0.9014650295721367
2260.0,0.9014650062890723
2261.0,0.9014650363242254
2262.0,0.9014650374883786
2263.0,0.9014650465687737
2264.0,0.9014650334138423
2265.0,0.901465020258911
2266.0,0.901465036557056
2267.0,0.9014650074532256
2268.0,0.9014650221215561
2269.0,0.9014650057069957
2270.0,0.9014650175813586
2271.0,0.901465020258911
2272.0,0.9014650207245722
2273.0,0.9014650338795036
2274.0,0.9014650069875643
2275.0,0.901465036906302
2276.0,0.9014650337630883
2277.0,0.9014650345779955
2278.0,0.9014650243334472
2279.0,0.9014650174649432
2280.0,0.90146503620781
2281.0,0.901465005823411
2282.0,0.9014650376047939
2283.0,0.901465019735042
2284.0,0.9014650338795036
2285.0,0.901465020084288
2286.0,0.9014650378958322
2287.0,0.9014650198514573
2288.0,0.901465003087651
2289.0,0.9014650393510237
2290.0,0.9014650317840278
2291.0,0.9014650171739049
2292.0,0.9014650550088845
2293.0,0.9014650407480076
2294.0,0.9014650337048806
2295.0,0.9014650412136689
2296.0,0.901465040515177
2297.0,0.9014650167664513
2298.0,0.9014650215976872
2299.0,0.9014650252065621
