,wood_harvest_area
2100.0,153.2242385149002
2101.0,152.60165518522263
2102.0,152.04535347223282
2103.0,151.54440933465958
2104.0,151.09153544902802
2105.0,150.67907458543777
2106.0,150.30223840475082
2107.0,149.95655941963196
2108.0,149.6384648680687
2109.0,149.34460878372192
2110.0,149.0723593235016
2111.0,148.82045036554337
2112.0,148.5859899520874
2113.0,148.36695140600204
2114.0,148.16278606653214
2115.0,147.97391939163208
2116.0,147.79549074172974
2117.0,147.62874794006348
2118.0,147.4718633890152
2119.0,147.3246556520462
2120.0,147.18721115589142
2121.0,147.0579852461815
2122.0,146.9372980594635
2123.0,146.82408928871155
2124.0,146.71832883358002
2125.0,146.62003433704376
2126.0,146.52861601114273
2127.0,146.4440158009529
2128.0,146.36659586429596
2129.0,146.29536128044128
2130.0,146.23180574178696
2131.0,146.17470079660416
2132.0,146.12497437000275
2133.0,146.08297300338745
2134.0,146.04886555671692
2135.0,146.0232388973236
2136.0,146.00733774900436
2137.0,146.03507155179977
2138.0,146.08437764644623
2139.0,146.10376870632172
2140.0,146.1381871700287
2141.0,146.1926582455635
2142.0,146.1864114999771
2143.0,146.1307641863823
2144.0,146.06709414720535
2145.0,146.00548374652863
2146.0,145.94521021842957
2147.0,145.88712126016617
2148.0,145.82938462495804
2149.0,145.77393394708633
2150.0,145.7192221879959
2151.0,145.74416029453278
2152.0,145.69124233722687
2153.0,145.63981705904007
2154.0,145.58874666690826
2155.0,145.53889405727386
2156.0,145.49016743898392
2157.0,145.4424005150795
2158.0,145.39528024196625
2159.0,145.34989649057388
2160.0,145.30446285009384
2161.0,145.2594565153122
2162.0,145.2158521413803
2163.0,145.17189145088196
2164.0,145.12900120019913
2165.0,145.086894094944
2166.0,145.04533648490906
2167.0,145.05612272024155
2168.0,145.02672642469406
2169.0,144.98552107810974
2170.0,144.94569379091263
2171.0,144.9053072333336
2172.0,144.8663022518158
2173.0,144.8273639678955
2174.0,144.78817504644394
2175.0,144.7491466999054
2176.0,144.71097540855408
2177.0,144.67233073711395
2178.0,144.6344655752182
2179.0,144.59734070301056
2180.0,144.5597949028015
2181.0,144.5229044854641
2182.0,144.48547384142876
2183.0,144.45939600467682
2184.0,144.43427023291588
2185.0,144.3984067440033
2186.0,144.36219906806946
2187.0,144.32711935043335
2188.0,144.29191067814827
2189.0,144.25700023770332
2190.0,144.2218679189682
2191.0,144.1875469982624
2192.0,144.15374898910522
2193.0,144.11972188949585
2194.0,144.08708396553993
2195.0,144.05427077412605
2196.0,144.02213749289513
2197.0,143.99174666404724
2198.0,143.9608650803566
2199.0,143.9302001297474
2200.0,143.90034991502762
2201.0,143.8707498908043
2202.0,143.8682796061039
2203.0,143.87801787257195
2204.0,143.84694710373878
2205.0,143.81633108854294
2206.0,143.78685346245766
2207.0,143.75791236758232
2208.0,143.72994062304497
2209.0,143.70201388001442
2210.0,143.67492133378983
2211.0,143.6495222747326
2212.0,143.62439170479774
2213.0,143.61189737915993
2214.0,143.58775568008423
2215.0,143.56413742899895
2216.0,143.54092660546303
2217.0,143.5189639031887
2218.0,143.49698597192764
2219.0,143.47647082805634
2220.0,143.4561248421669
2221.0,143.4370684325695
2222.0,143.41794431209564
2223.0,143.39961802959442
2224.0,143.39495158195496
2225.0,143.3834456205368
2226.0,143.3665943145752
2227.0,143.34826585650444
2228.0,143.3313318490982
2229.0,143.31499415636063
2230.0,143.29915621876717
2231.0,143.28382942080498
2232.0,143.27001252770424
2233.0,143.2553006708622
2234.0,143.24130925536156
2235.0,143.22759491205215
2236.0,143.21497496962547
2237.0,143.2020638883114
2238.0,143.18970385193825
2239.0,143.1771772801876
2240.0,143.1658189892769
2241.0,143.1539796590805
2242.0,143.14257261157036
2243.0,143.13142707943916
2244.0,143.12094521522522
2245.0,143.11080214381218
2246.0,143.10016077756882
2247.0,143.09048575162888
2248.0,143.08101963996887
2249.0,143.0714082121849
2250.0,143.0615414083004
2251.0,143.05236285924911
2252.0,143.0432332754135
2253.0,143.03451311588287
2254.0,143.02570337057114
2255.0,143.01722985506058
2256.0,143.0089129805565
2257.0,143.0007356107235
2258.0,142.99199777841568
2259.0,142.98427975177765
2260.0,142.97581234574318
2261.0,142.96833291649818
2262.0,142.96070230007172
2263.0,142.95297038555145
2264.0,142.94592839479446
2265.0,142.9378269314766
2266.0,142.93089178204536
2267.0,142.92376467585564
2268.0,142.91697117686272
2269.0,142.9096100628376
2270.0,142.90276461839676
2271.0,142.89583358168602
2272.0,142.8887209892273
2273.0,142.88219898939133
2274.0,142.87632113695145
2275.0,142.869383841753
2276.0,142.8631771504879
2277.0,142.85687285661697
2278.0,142.8503294289112
2279.0,142.84458848834038
2280.0,142.83805832266808
2281.0,142.8323450088501
2282.0,142.82613280415535
2283.0,142.82047548890114
2284.0,142.81501984596252
2285.0,142.80880111455917
2286.0,142.8034209907055
2287.0,142.79736548662186
2288.0,142.79206064343452
2289.0,142.7864557504654
2290.0,142.7807323038578
2291.0,142.7749373614788
2292.0,142.7698268890381
2293.0,142.76434242725372
2294.0,142.75879669189453
2295.0,142.75426840782166
2296.0,142.7485676407814
2297.0,142.74344313144684
2298.0,142.7388617694378
2299.0,142.73349010944366
