,wood_harvest_area
2015.0,132.02532768249512
2016.0,135.05474495887756
2017.0,137.82163214683533
2018.0,141.05056405067444
2019.0,145.3877260684967
2020.0,151.4807267189026
2021.0,159.58043003082275
2022.0,172.91212701797485
2023.0,180.979022026062
2024.0,183.0007791519165
2025.0,185.44207334518433
2026.0,188.2907395362854
2027.0,191.6634020805359
2028.0,195.05893278121948
2029.0,199.08298206329346
2030.0,204.93815994262695
2031.0,209.6371030807495
2032.0,211.62603664398193
2033.0,212.92428588867188
2034.0,214.3339557647705
2035.0,215.85837173461914
2036.0,217.4153938293457
2037.0,219.14532232284546
2038.0,221.0851559638977
2039.0,223.23064136505127
2040.0,225.87456703186035
2041.0,228.58999061584473
2042.0,231.65019178390503
2043.0,235.17976713180542
2044.0,239.3170042037964
2045.0,244.00161695480347
2046.0,248.5313367843628
2047.0,253.39423036575317
2048.0,258.02143144607544
2049.0,263.06430435180664
2050.0,268.68570613861084
2051.0,275.17552518844604
2052.0,282.40835881233215
2053.0,290.49195075035095
2054.0,299.6256411075592
2055.0,309.6711711883545
2056.0,319.7022886276245
2057.0,330.7076337337494
2058.0,338.3220098018646
2059.0,343.6753704547882
2060.0,349.5238947868347
2061.0,355.2575409412384
2062.0,361.39501452445984
2063.0,368.5322918891907
2064.0,375.26988410949707
2065.0,376.50645446777344
2066.0,377.4532754421234
2067.0,378.2408194541931
2068.0,378.7451362609863
2069.0,379.23028445243835
2070.0,379.73870825767517
2071.0,380.24353289604187
2072.0,380.84171867370605
2073.0,381.2472014427185
2074.0,381.60673785209656
2075.0,382.0201299190521
2076.0,382.4022798538208
2077.0,382.83344197273254
2078.0,383.3600788116455
2079.0,384.0764214992523
2080.0,385.1210927963257
2081.0,386.1091277599335
2082.0,386.12066745758057
2083.0,386.1355149745941
2084.0,386.1490604877472
2085.0,386.13311648368835
2086.0,386.09082198143005
2087.0,385.96023654937744
2088.0,385.7925019264221
2089.0,385.6024560928345
2090.0,385.43867921829224
2091.0,385.2624292373657
2092.0,385.0894479751587
2093.0,384.92342257499695
2094.0,384.74778151512146
2095.0,384.56118726730347
2096.0,384.3499108552933
2097.0,384.1122028827667
2098.0,383.88246989250183
2099.0,382.9994444847107
