,forest,non-forest,grass,cropland,degraded
850.0,4782.3156,7703.4296,331.910728125,174.994089453125,0.4053068603515625
851.0,4782.184216796875,7703.0939515625005,332.26248125,175.108548828125,0.4062402587890625
852.0,4782.052748437501,7702.7586468750005,332.61420937500003,175.2230080078125,0.407173681640625
853.0,4781.92099296875,7702.4225578125,332.9659375,175.3374546875,0.4081071044921875
854.0,4781.7896609375,7702.087459375,333.317665625,175.45191542968752,0.40904052734375
855.0,4781.6580140625,7701.751450000001,333.669390625,175.56637617187502,0.40997392578125
856.0,4781.52633125,7701.416228125,334.02111875,175.680837109375,0.410907373046875
857.0,4781.395090625,7701.080743750001,334.372846875,175.7952837890625,0.41184077148437503
858.0,4781.26348125,7700.745056250001,334.724575,175.90974296875,0.41277416992187504
859.0,4781.131871875001,7700.40926875,335.07630312500004,176.02420234375,0.41370761718750004
860.0,4781.0002125,7700.07418125,335.42805625,176.1386505859375,0.414641015625
861.0,4780.8689593750005,7699.73809375,335.779784375,176.253108203125,0.4155744140625
862.0,4780.73736875,7699.4030437500005,336.13151250000004,176.3675689453125,0.416507861328125
863.0,4780.6059187500005,7699.067,336.483240625,176.4820158203125,0.417441259765625
864.0,4780.474125000001,7698.73148125,336.834965625,176.596475,0.41837470703125
865.0,4780.3425625,7698.396000000001,337.18669375,176.71093730468752,0.41930810546875
866.0,4780.211334375001,7698.06034375,337.53842187500004,176.825385546875,0.42024150390625004
867.0,4780.0797437500005,7697.7249625,337.89015,176.939843359375,0.42117495117187503
868.0,4779.948121875001,7697.389362500001,338.241903125,177.0543041015625,0.42210834960937504
869.0,4779.8168000000005,7697.05383125,338.59363125000004,177.16876328125002,0.423041748046875
870.0,4779.685234375001,7696.71805625,338.945359375,177.28321015625002,0.4239751953125
871.0,4779.553465625001,7696.382468750001,339.29708750000003,177.3976693359375,0.42490859375
872.0,4779.4221625,7696.0465375,339.6488125,177.51212851562502,0.425842041015625
873.0,4779.290615625,7695.711337500001,340.00054062500004,177.6265751953125,0.426775439453125
874.0,4779.1588,7695.375187500001,340.35226875,177.7410361328125,0.427708837890625
875.0,4779.027262500001,7695.040300000001,340.70399687500003,177.855496875,0.42864228515625
876.0,4778.89575,7694.7046625,341.055725,177.9699451171875,0.42957568359375004
877.0,4778.764546875001,7694.368637500001,341.407478125,178.0844044921875,0.43050908203125005
878.0,4778.632803125,7694.032925,341.75920625000003,178.19886367187502,0.43144252929687504
879.0,4778.5014656250005,7693.697625,342.110934375,178.3133103515625,0.432375927734375
880.0,4778.369621875,7693.3623,342.46265937500004,178.42777128906252,0.433309375
881.0,4778.238312500001,7693.0268375000005,342.8143875,178.54222890625002,0.4342427734375
882.0,4778.106521875001,7692.6912375,343.16611562500003,178.6566771484375,0.435176171875
883.0,4777.9752499999995,7692.3550125,343.51784375,178.771136328125,0.436109619140625
884.0,4777.843809375,7692.0197875,343.869571875,178.885598828125,0.437043017578125
885.0,4777.71205,7691.6844,344.22130000000004,179.0000580078125,0.43797641601562504
886.0,4777.580659374999,7691.348675000001,344.573053125,179.11450625,0.43890986328125003
887.0,4777.4490562500005,7691.0132125,344.92478125,179.2289640625,0.43984326171875004
888.0,4777.317678125,7690.677162500001,345.276509375,179.34342480468752,0.44077666015625
889.0,4777.185890625,7690.3418625,345.62823437500003,179.457871484375,0.441710107421875
890.0,4777.0544375,7690.006237500001,345.9799625,179.57233066406252,0.442643505859375
891.0,4776.9229375,7689.670575000001,346.331690625,179.68679003906252,0.443576904296875
892.0,4776.7911875,7689.33475,346.68341875000004,179.80123671875,0.4445103515625
893.0,4776.659646875,7688.999825000001,347.035146875,179.91569589843752,0.44544375
894.0,4776.528309375,7688.663637500001,347.38687500000003,180.03015839843752,0.446377197265625
895.0,4776.396612500001,7688.328275,347.738628125,180.144606640625,0.44731059570312504
896.0,4776.265403125,7687.992975,348.09035625,180.2590642578125,0.44824399414062505
897.0,4776.133721875,7687.6571,348.44208125,180.373525,0.44917744140625004
898.0,4776.00238125,7687.321600000001,348.793809375,180.48798417968752,0.45011083984375
899.0,4775.870556250001,7686.985775,349.1455375,180.60243105468751,0.45104423828125
900.0,4775.738987500001,7686.6505875,349.497265625,180.716890234375,0.451977685546875
901.0,4775.669259375,7686.497,349.68475312500004,180.75215273437502,0.45220986328125
902.0,4775.599003125,7686.344587500001,349.872240625,180.7874087890625,0.45244199218750003
903.0,4775.52938125,7686.1912875,350.059728125,180.82267285156252,0.45267416992187504
904.0,4775.45936875,7686.038025,350.247215625,180.8579353515625,0.452906298828125
905.0,4775.389371875,7685.8851,350.434678125,180.89320234375,0.4531384765625
906.0,4775.319184375001,7685.7319875,350.62216562500004,180.92845234375,0.453370654296875
907.0,4775.249246875001,7685.5788875,350.809653125,180.96371796875002,0.453602783203125
908.0,4775.179575,7685.4259375,350.99714062500004,180.9989818359375,0.45383496093750003
909.0,4775.1094812500005,7685.2735250000005,351.184628125,181.0342474609375,0.45406713867187504
910.0,4775.03933125,7685.1202875,351.372115625,181.06949902343752,0.454299267578125
911.0,4774.96955,7684.967525,351.559603125,181.10476132812502,0.4545314453125
912.0,4774.899725,7684.814425,351.747065625,181.140025390625,0.45476357421875
913.0,4774.829534375,7684.661,351.93455312500004,181.175281640625,0.454995751953125
914.0,4774.75976875,7684.507975,352.12204375,181.2105439453125,0.45522792968750003
915.0,4774.6897625,7684.3553,352.30953125,181.2458080078125,0.45546005859375
916.0,4774.619646875,7684.20225,352.49701875,181.28107031250002,0.455692236328125
917.0,4774.54965625,7684.04905,352.68450625,181.316325,0.455924365234375
