Year,Land Use.clearing forest for grassland exogenous,Land Use.clearing forests for crops exogenous,Land Use.foresting grassland exogenous,Land Use.clearing grassland exogenous,Land Use.degraded land from grassland exogenous,Land Use.forresting cropland exogenous,Land Use.fallowing cropland exogenous,Land Use.degraded land from crops exogenous,Land Use.foresting degraded land exogenous
1827,1.5546912841796876,11.435842755126954,0.009923180770874,9.895280202490092,0.013043929157406,10.341411962890623,8.16803171262741,0.0252246486902236,0.0018871145248413
1828,1.554694860839844,11.483616554260252,0.0099232326507568,9.930570331192015,0.0130412134952843,10.389168798828123,8.203322629880907,0.0252514324665069,0.0018837831497192
1829,1.554698828125,11.531340934753418,0.0099233081817626,9.965858992248776,0.013038821041584,10.43687705078125,8.2386136033535,0.025277673625946,0.0018804544448852
1830,1.682093884277344,12.016987983703617,0.0182327270507812,10.560019471222162,0.0137885607406497,10.495793432617187,8.276407219791412,0.02323039457798,0.0016556627273559
1831,1.6821072631835938,12.06614534301758,0.0182331275939941,10.597741475826504,0.0137775013834238,10.54492958984375,8.314104413604737,0.0232779757499694,0.0016534051895141
1832,1.6821191284179688,12.115298851013184,0.0182329513549804,10.63546101229787,0.0137684184402227,10.594066088867187,8.351802355241777,0.0233181142330169,0.001651146697998
1833,1.6821304321289063,12.164446662902831,0.0182332557678222,10.673181111520528,0.0137582019343972,10.643203540039064,8.389500117635729,0.0233525947809219,0.0016488889694213
1834,1.6821418212890626,12.213592601013184,0.0182332817077636,10.710900719296932,0.0137481194719672,10.692341040039064,8.427197675180436,0.023384070444107,0.0016466320037841
1835,1.6821526855468751,12.262591050720216,0.0182334632873535,10.748619264483452,0.0137383507400751,10.74133515625,8.464895222616196,0.0234116210460662,0.0016443738937377
1836,1.6821636352539064,12.311209341430663,0.0182333961486816,10.78633819269538,0.0137292255088686,10.789949951171875,8.502593095636367,0.0234370797634124,0.0016421178817749
1837,1.6821736450195317,12.35977946777344,0.0182337181091308,10.824057045996188,0.0137186501637101,10.838518994140626,8.5402906560421,0.0234609148740768,0.0016398614883422
1838,1.6821840454101562,12.408348425292967,0.0182335678100585,10.861773934596778,0.0137104388684034,10.887088745117188,8.57798866043091,0.0234811099767684,0.0016376035690307
1839,1.6821942749023435,12.456915338134763,0.0182337989807128,10.8994914619267,0.0137023655593395,10.935659985351563,8.615686680555344,0.0234971938371658,0.0016353481292724
1840,1.4648384521484377,12.68276596374512,0.0263016540527343,10.877884655046463,0.0161556645661592,11.00348239746094,8.791133023881912,0.0353791927814483,0.0013186322212219
1841,1.464896130371094,12.732497727966308,0.0263013282775878,10.91817763287425,0.0161585313752293,11.053242700195312,8.831355404758455,0.0354053297519683,0.0013185202598571
1842,1.464940173339844,12.78219458618164,0.02630205078125,10.95844239397049,0.0161756780683994,11.102959301757814,8.871578354740144,0.0354116406440734,0.0013184084892272
1843,1.4649765625,12.83174284515381,0.026302505493164,10.998701789420844,0.0161901769891381,11.152519677734375,8.911801489067077,0.0354213617324829,0.0013182953834533
1844,1.465007507324219,12.881293539428713,0.0263030197143554,11.038959051895144,0.0162023257657885,11.20208115234375,8.952024186515809,0.0354289111614227,0.0013181816101074
1845,1.46503466796875,12.930849490356447,0.0263031684875488,11.079214569306371,0.0162118105754256,11.251641674804688,8.99224704976082,0.0354417983531951,0.0013180683135986
1846,1.4650593505859375,12.980238618469238,0.0263035682678222,11.119468326169253,0.0162207670360803,11.301035229492188,9.032470216083528,0.0354528168201446,0.0013179538726806
1847,1.4650815917968751,13.029447662353515,0.0263037658691406,11.159721531921626,0.0162279376879334,11.350246997070313,9.072693124485015,0.0354650977611541,0.0013178391456604
1848,1.4651009521484375,13.078566644287111,0.0263041557312011,11.199972529351712,0.0162342763930559,11.399368237304689,9.112916023540498,0.0354755855083465,0.0013177231788635
1849,1.4651200195312502,13.127685945129397,0.0263043243408203,11.240225309073924,0.0162389768496155,11.44848857421875,9.153139006471632,0.0354888400554657,0.0013176076889038
1850,1.4583828735351565,13.724967163085935,0.1843383544921875,11.161687945222855,0.0221774225205183,11.509282763671877,9.199497194385527,0.0392798839092254,0.001518959236145
1851,1.4582630493164062,13.74739765930176,0.1843387084960937,11.162071644115448,0.0218938923865556,11.531559252929688,9.199712331962584,0.0395949568271637,0.0015214172363281
1852,1.4581719848632817,13.769317395019533,0.1843395202636719,11.162141440010071,0.0216783778220415,11.553362817382814,9.199654251194,0.0398321182727813,0.001523851108551
1853,1.458101806640625,13.79073998413086,0.1843406982421875,11.161909163522722,0.0215109571158885,11.57469411621094,9.199321873092652,0.040017015504837,0.0015262606620788
1854,1.45804443359375,13.811673922729494,0.1843413391113281,11.161385350966455,0.0213766627907753,11.59555185546875,9.198717076826096,0.0401675115585327,0.0015286470413208
1855,1.457998583984375,13.83212122192383,0.1843420166015625,11.160575280475616,0.0212661340594291,11.615936059570313,9.19783848834038,0.0402917580604553,0.0015310111999511
1856,1.4579596313476562,13.852086544799809,0.1843428588867187,11.159481899428368,0.0211726012974977,11.635847436523438,9.196687077331545,0.0403977083206176,0.0015333527565002
1857,1.4579282958984376,13.871570907592773,0.1843434265136719,11.158106363630296,0.0210947628319263,11.655285180664062,9.1952620197773,0.0404869297027587,0.0015356720924377
1858,1.457899597167969,13.890572500610352,0.1843441650390625,11.15645178563595,0.0210268501996994,11.674251196289063,9.193563575839995,0.0405593193531036,0.0015379701614379
1859,1.4578750122070312,13.909092755126954,0.184344775390625,11.154519310617449,0.0209668354660272,11.692745166015625,9.191591813230517,0.0406184641361236,0.0015402466773986
1860,1.0139005371093752,13.143988006591798,1.4905633056640626,11.169848656082152,0.0211652999460697,12.00243981933594,9.17097143468857,0.0375988044738769,0.0036057743072509
1861,1.01390625,13.15676548614502,1.4905596923828126,11.163728567361831,0.0210137191712856,12.01524970703125,9.164693098163603,0.0377140212535858,0.0036179931640625
1862,1.0139117797851562,13.169088983154298,1.4905565185546876,11.157349854540826,0.0208772567808628,12.027605297851563,9.15817182788849,0.0378149945259094,0.003630182647705
1863,1.0139180664062502,13.180673388671876,1.4905535888671877,11.150716182994842,0.0207529908239841,12.039224438476564,9.151406852722168,0.037901541185379,0.0036423439025878
1864,1.013924169921875,13.191810163879396,1.4905504638671876,11.14383053150177,0.0206358691275119,12.050401928710938,9.14439810886383,0.0379747899532318,0.0036544738769531
1865,1.0139315185546875,13.202504458618163,1.4905477294921876,11.136693439173698,0.0205283911973238,12.061136791992189,9.13714607038498,0.0380395168304443,0.0036665733337402
1866,1.0139378173828124,13.212753581237797,1.4905451171875002,11.129306245160103,0.0204268809765577,12.071430615234377,9.12965053434372,0.0380938208580017,0.0036786449432373
1867,1.013944470214844,13.222563412475589,1.49054228515625,11.121669636154175,0.0203304190725088,12.081280395507813,9.121911181735994,0.0381471498489379,0.0036906856536865
1868,1.0139511352539063,13.23192636871338,1.4905400390625,11.113786103057862,0.0202387454092502,12.090688525390624,9.113928379535675,0.0381911322593689,0.0037027004241943
1869,1.0139579956054687,13.240843730163574,1.4905376464843751,11.105653287887574,0.0201514453440904,12.099654541015626,9.105702241420746,0.0382272669315338,0.003714684677124
1870,2.25830439453125,14.744358338928222,0.1651816772460937,12.78880239852667,0.0310628298878669,11.808596728515626,9.026160556411744,0.0557009376525878,0.0015605564117431
1871,2.258350439453125,14.771594592285156,0.1651825744628906,12.785650798863172,0.0308975363731384,11.835813647460938,9.022795295214657,0.0559292073249816,0.0015616280555725
1872,2.2583994384765624,14.7982495300293,0.1651831451416015,12.782153704917432,0.0307963081717491,11.862464746093751,9.01914571287632,0.0560823288440704,0.0015626946449279
1873,2.2584512939453125,14.824330419921877,0.1651837677001953,12.778337465322018,0.0307314428031444,11.88854921875,9.015210462570192,0.0561949771881103,0.0015637558937072
