,forest_to_forest,forest_to_grass,forest_to_cropland,forest_to_degraded,grass_to_forest,grass_to_grass,grass_to_cropland,grass_to_degraded,cropland_to_forest,cropland_to_grass,cropland_to_cropland,cropland_to_degraded,degraded_to_forest,degraded_to_grass,degraded_to_cropland,degraded_to_degraded
850.0,0.0,0.09600608215332032,4.133509667968751,1.1176244588568807e-07,0.0010251667976379395,0.30307712891101835,3.5810552921189696,0.00023713063101749867,4.0969578002929685,3.5024528788554483,13.393224755859375,0.0006986795131117106,1.2589683756232262e-07,1.7288140894379468e-06,6.602030014619232e-07,0.0
851.0,0.0,0.09600507928431035,4.136575971221924,5.127261975394504e-06,0.0010259777069091798,0.3030771346747876,3.5833687477975795,0.00024056355295469986,4.100029333496094,3.504770976877958,13.398986621093751,0.0006902450472116471,1.2557681184262037e-07,1.7295180761720985e-06,6.597836501896382e-07,0.0
852.0,0.0,0.09600442147254945,4.139643682098389,9.052723792592586e-06,0.0010256980895996094,0.30307750197649,3.5856826273396667,0.00024297384446254002,4.103099462890625,3.507087894259859,13.4047484375,0.0006839000184088946,1.2526086065918208e-07,1.7302402877248824e-06,6.593883852474392e-07,0.0
853.0,0.0,0.09600362034440041,4.142710385131837,1.1914455542409997e-05,0.001025773525238037,0.30307759482860563,3.5879965586563984,0.0002447647260443773,4.10616875,3.509403910294641,13.410510302734375,0.0006792589094489814,1.2494238326326014e-07,1.7309793212916702e-06,6.589912227354944e-07,0.0
854.0,0.0,0.09600327028036118,4.145778001403809,1.421043002501392e-05,0.001025778341293335,0.3030777830839157,3.5903099301334183,0.0002461175621370785,4.1092376953125,3.511719838188403,13.416272167968751,0.00067559476159513,1.2462615268304945e-07,1.7316702520474791e-06,6.585700204595924e-07,0.0
855.0,0.0,0.09600207916498184,4.148844946289063,1.6261940096956098e-05,0.0010256428956985475,0.3030774747371674,3.5926242832609803,0.00024707428130786867,4.112306237792969,3.514035267610662,13.422034765625,0.0006726050857454539,1.2430642964318396e-07,1.7324104439467192e-06,6.581806752365083e-07,0.0
856.0,0.0,0.09600219119787216,4.1519121597290045,1.813101708630711e-05,0.0010257404088974,0.3030778045654297,3.5949382575754076,0.0002477636522671674,4.115374633789063,3.5163504409060815,13.427796630859376,0.0006700272835791112,1.2398945400491358e-07,1.7331264156382533e-06,6.57778128515929e-07,0.0
857.0,0.0,0.096001207113266,4.154979467773438,1.986194143637476e-05,0.0010257142543792725,0.30307759979963306,3.597251758269698,0.00024829316825489517,4.118442687988281,3.518665498366952,13.433558447265625,0.0006677819486707449,1.2367204762995244e-07,1.733856147620827e-06,6.573599821422249e-07,0.0
858.0,0.0,0.0960006083250046,4.158046157836915,2.1485472616950575e-05,0.0010256839036941528,0.30307802389860156,3.5995658830844794,0.000248606039385777,4.121511022949219,3.520980235290993,13.439320312500001,0.0006658351983875036,1.2335570063441993e-07,1.7345776373986156e-06,6.569748104084283e-07,0.0
859.0,0.0,0.09600018942356109,4.161095111083984,2.3027184347938602e-05,0.0010257289171218872,0.3030779225349426,3.6018801556936353,0.0002487606163136661,4.124560571289063,3.5232949766542765,13.445082177734376,0.0006641493029892445,1.230347203090787e-07,1.735282933805138e-06,6.565544463228435e-07,0.0
