,wood_harvest_biomass
850.0,0.015740581322461367
851.0,0.01575755937783796
852.0,0.015781310306281382
853.0,0.01583268225618939
854.0,0.01591713945074691
855.0,0.0160128617377584
856.0,0.016042844726229077
857.0,0.01610373655228159
858.0,0.016191400559982583
859.0,0.01639641089500188
860.0,0.01709647615065535
861.0,0.02681895879612739
862.0,0.026275038524772754
863.0,0.02578075756770204
864.0,0.025334833803015044
865.0,0.02493526050955097
866.0,0.024575638238275133
867.0,0.02425169349794487
868.0,0.023957446262443227
869.0,0.02369339289077743
870.0,0.02345467736927276
871.0,0.023238679965402298
872.0,0.023041324458745294
873.0,0.022864314529329022
874.0,0.022703462073877745
875.0,0.02255772024147973
876.0,0.022425618773922906
877.0,0.022303845689066293
878.0,0.022194782274596037
879.0,0.022095577306117775
880.0,0.02200495807437619
881.0,0.021921124791788316
882.0,0.02184665553772902
883.0,0.021778879483690616
884.0,0.02171741435495278
885.0,0.021659729277644146
886.0,0.02160887756053853
887.0,0.02156291383266762
888.0,0.02152111822738334
889.0,0.021483160659045097
890.0,0.02138449316862534
891.0,0.021416075774141063
892.0,0.021387952906934515
893.0,0.021362808106459852
894.0,0.02133814994522254
895.0,0.02131771938820748
896.0,0.021299548633123777
897.0,0.021283224630678887
898.0,0.021266955739065452
899.0,0.0212543910970453
900.0,0.024182592719171225
901.0,0.02434799004913657
902.0,0.024317530961525335
903.0,0.024286066454806132
904.0,0.02425744640004268
905.0,0.02422989945353038
906.0,0.024203245732678624
907.0,0.024175505192943092
908.0,0.02415015375481744
909.0,0.024125649507368507
910.0,0.024101902389702445
911.0,0.024076884402347787
912.0,0.02405413125143241
913.0,0.024031885628573946
914.0,0.024010460780118592
915.0,0.023989372046344215
916.0,0.02396700918507122
917.0,0.023946836316099507
918.0,0.023926952391775558
919.0,0.023907607515866403
920.0,0.023886782406407292
921.0,0.02386823930828541
922.0,0.02384986125616706
923.0,0.023831636091927066
924.0,0.023812240975530585
925.0,0.02379484218545258
926.0,0.023777720529324142
927.0,0.02376082507544197
928.0,0.02374406377566629
929.0,0.023173932157078525
930.0,0.02370516258815769
931.0,0.023688846711593214
932.0,0.02367283552302979
933.0,0.023655159828194883
934.0,0.02363965064068907
935.0,0.023624283603567164
936.0,0.023609181389474543
937.0,0.023592467601702083
938.0,0.02302263633828261
939.0,0.023558477907499764
940.0,0.023000585359113757
941.0,0.02352479167166166
942.0,0.023508493111876305
943.0,0.023493992470321245
944.0,0.023479870622395538
945.0,0.02346593538095476
946.0,0.02345046860864386
947.0,0.02296926629060181
948.0,0.023419469347572885
949.0,0.023405984822602477
950.0,0.023392867762595415
951.0,0.02337788278964581
952.0,0.023365002431091852
953.0,0.02335205554118147
954.0,0.023339396888331976
955.0,0.02297224005451426
956.0,0.02331007360771764
957.0,0.023297563588130288
958.0,0.023285229530301876
959.0,0.02327143817092292
960.0,0.02292169713473413
961.0,0.02324488013982773
962.0,0.02323301696742419
963.0,0.023221230192575604
964.0,0.023207840538816527
965.0,0.02319629544217605
966.0,0.023185056925285608
967.0,0.02317382610635832
968.0,0.023160960874520242
969.0,0.023149922577431425
970.0,0.023139061115216464
971.0,0.023128412693040445
972.0,0.02311603829730302
973.0,0.02310527188819833
974.0,0.023094920092262328
975.0,0.02308454245212488
976.0,0.023074365861248225
977.0,0.02306249493267387
978.0,0.023052272299537435
979.0,0.022726552444510162
980.0,0.02302981325192377
981.0,0.023018021194729954
982.0,0.02300812629982829
983.0,0.02299821173073724
984.0,0.022988477139733732
985.0,0.022977098647970706
986.0,0.022967548691667616
987.0,0.02243297314271331
988.0,0.022944250085856766
989.0,0.022934631095267832
990.0,0.02261277858633548
991.0,0.022911464679054916
992.0,0.022902038996107876
993.0,0.022892550099641085
994.0,0.022881410201080143
995.0,0.022135070292279124
996.0,0.022857111180201173
997.0,0.022447205730713904
998.0,0.022832894464954734
999.0,0.02282349218148738
1000.0,0.014630916062742472
1001.0,0.014643529080785811
1002.0,0.014653524034656584
1003.0,0.01466470817103982
1004.0,0.014675713842734694
1005.0,0.014686338836327195
1006.0,0.014695032150484622
1007.0,0.01470550219528377
1008.0,0.014715890865772963
1009.0,0.014724581385962665
1010.0,0.014734970754943788
1011.0,0.014745619497261941
1012.0,0.014756189775653183
1013.0,0.014764956780709326
1014.0,0.014775721938349307
1015.0,0.014786373591050506
1016.0,0.014797210227698088
1017.0,0.014806461869738996
1018.0,0.014817593735642731
1019.0,0.014828770654276013
1020.0,0.014830630039796233
1021.0,0.014849450904875994
1022.0,0.014860885916277766
1023.0,0.014872425585053861
1024.0,0.014882295858114958
1025.0,0.014894091058522463
1026.0,0.014906186028383672
1027.0,0.014916389365680516
1028.0,0.014928534859791398
1029.0,0.014940755907446146
1030.0,0.014953096862882376
1031.0,0.01496383803896606
1032.0,0.014976484118960798
1033.0,0.014989325893111527
1034.0,0.015000404673628509
1035.0,0.015013306750915945
1036.0,0.015026499866507947
1037.0,0.01503965794108808
1038.0,0.015051276655867696
1039.0,0.015064657549373806
1040.0,0.01507843763101846
1041.0,0.015092122601345181
1042.0,0.015104226651601493
1043.0,0.015118218841962516
1044.0,0.01513230346608907
1045.0,0.015144772827625275
1046.0,0.015159051748923957
1047.0,0.015173717634752393
1048.0,0.015188303776085377
1049.0,0.015201230999082327
1050.0,0.015216093277558684
1051.0,0.015231193974614143
1052.0,0.01524451607838273
1053.0,0.015249525429680943
1054.0,0.015275159617885947
1055.0,0.015290615148842335
1056.0,0.015304462984204292
1057.0,0.015320254489779472
1058.0,0.015336158452555537
1059.0,0.015350484987720847
1060.0,0.01536659267731011
1061.0,0.015383167890831828
1062.0,0.015399537980556488
1063.0,0.015203214483335614
1064.0,0.015429603168740869
1065.0,0.01544634741730988
1066.0,0.015463343355804682
1067.0,0.015478598419576883
1068.0,0.01549605536274612
1069.0,0.01551349856890738
1070.0,0.015521251130849123
1071.0,0.015538908774033189
1072.0,0.015557960141450167
1073.0,0.015582905849441886
1074.0,0.015599417500197887
1075.0,0.015617979690432549
1076.0,0.015636538388207555
1077.0,0.015653547830879688
1078.0,0.015672468580305576
1079.0,0.015692015644162893
1080.0,0.015711680054664612
1081.0,0.015729665756225586
1082.0,0.015749778132885695
1083.0,0.015762561233714223
1084.0,0.01578870229423046
1085.0,0.015809108968824148
1086.0,0.015829859068617225
1087.0,0.0158507926389575
1088.0,0.015870106173679233
1089.0,0.01589144254103303
1090.0,0.01591305574402213
1091.0,0.015934809343889356
1092.0,0.015954899601638317
1093.0,0.01597701502032578
1094.0,0.015999289695173502
1095.0,0.01601990032941103
1096.0,0.016042584786191583
1097.0,0.01606554491445422
1098.0,0.01606634072959423
1099.0,0.01610621507279575
1100.0,0.0267256167717278
1101.0,0.027118979254737496
1102.0,0.02719363267533481
1103.0,0.027262059273198247
1104.0,0.02728876261971891
1105.0,0.027403353713452816
1106.0,0.02749523287639022
1107.0,0.027396221878007054
1108.0,0.02763202041387558
1109.0,0.027488835621625185
1110.0,0.027787509839981794
1111.0,0.027869012439623475
1112.0,0.027943975757807493
1113.0,0.028017121134325862
1114.0,0.028092526830732822
1115.0,0.028167769080027938
1116.0,0.028247815323993564
1117.0,0.02809576108120382
1118.0,0.02807237021625042
1119.0,0.028484308626502752
1120.0,0.02856904035434127
1121.0,0.02866433677263558
1122.0,0.028753371676430106
1123.0,0.0288430314976722
1124.0,0.028932818677276373
1125.0,0.02902110666036606
1126.0,0.02911178139038384
1127.0,0.02919680206105113
1128.0,0.02929200162179768
1129.0,0.029383538523688912
1130.0,0.02942024706862867
1131.0,0.029505765764042735
1132.0,0.02947017620317638
1133.0,0.02975112502463162
1134.0,0.029844174394384027
1135.0,0.029931689146906137
1136.0,0.030029892921447754
1137.0,0.030124257784336805
1138.0,0.03015934699214995
1139.0,0.030308332294225693
