,wood_harvest_area
850.0,3.637112945318222
851.0,3.653931620283174
852.0,3.6529402827939066
853.0,3.6253067204673926
854.0,3.6392796316486056
855.0,3.646063254303499
856.0,3.6499385965507827
857.0,3.6609493896421554
858.0,3.6704023991119357
859.0,3.679284605450448
860.0,3.6907311327213392
861.0,3.7674555905796296
862.0,3.7667876753257588
863.0,3.7654724430976785
864.0,3.7636628354957793
865.0,3.7614670871662383
866.0,3.7589221828384325
867.0,3.7558045550758834
868.0,3.75123908414389
869.0,3.747926152886066
870.0,3.743543990261969
871.0,3.7399742636989686
872.0,3.736311644912348
873.0,3.732628070814826
874.0,3.7289140685097664
875.0,3.7251788209032384
876.0,3.7214948368491605
877.0,3.7178548051597318
878.0,3.714262731074996
879.0,3.7107363428003737
880.0,3.702295579474594
881.0,3.6971374807835673
882.0,3.6938516737427562
883.0,3.690635753548122
884.0,3.687549560374464
885.0,3.684561752495938
886.0,3.681695729668718
887.0,3.678928446897771
888.0,3.67631455049559
889.0,3.673767370521091
890.0,3.67084514349699
891.0,3.6690702219493687
892.0,3.66640463443764
893.0,3.663797949673608
894.0,3.6618130978604313
895.0,3.6591349364607595
896.0,3.6568180563335773
897.0,3.6551869162358344
898.0,3.6536213167128153
899.0,3.6521763151395135
900.0,3.6755120455200085
901.0,3.6725184393581003
902.0,3.670134387270082
903.0,3.6677425408852287
904.0,3.6654843344003893
905.0,3.663265325973043
906.0,3.6611506269255187
907.0,3.659035134682199
908.0,3.657007971400162
909.0,3.655068550549913
910.0,3.6531802686222363
911.0,3.6507218386395834
912.0,3.647655416862108
913.0,3.645901872368995
914.0,3.6442410466552246
915.0,3.642594160453882
916.0,3.640979717456503
917.0,3.6394407158659305
918.0,3.6379257332300767
919.0,3.636449334851932
920.0,3.6350056548253633
921.0,3.6336443305481225
922.0,3.6322793180006556
923.0,3.630958908179309
924.0,3.6356577686965466
925.0,3.634393282001838
926.0,3.6331840632483363
927.0,3.63199104036903
928.0,3.6308303200057708
929.0,3.6255730757839046
930.0,3.6285665031173266
931.0,3.627465046418365
932.0,3.626382290443871
933.0,3.6253196430625394
934.0,3.6243014443898574
935.0,3.6233236596453935
936.0,3.622323390969541
937.0,3.6213619669433683
938.0,3.616298007662408
939.0,3.6194787562126294
940.0,3.614529747981578
941.0,3.6176377766532823
942.0,3.6179618379101157
943.0,3.6212450673338026
944.0,3.620355437626131
945.0,3.619543176610023
946.0,3.6187013454036787
947.0,3.6144118645461276
948.0,3.617035641684197
949.0,3.6162500666687265
950.0,3.615488058887422
951.0,3.6147017593029886
952.0,3.613935596193187
953.0,3.613170805037953
954.0,3.6124371921177953
955.0,3.609050838276744
956.0,3.610892235301435
957.0,3.611539693083614
958.0,3.6157360782381147
959.0,3.614998246077448
960.0,3.611756334314123
961.0,3.6135339620523155
962.0,3.6128158217761666
963.0,3.612103349296376
964.0,3.610976353287697
965.0,3.609870607033372
966.0,3.609158364823088
967.0,3.6082237916998565
968.0,3.6074806505348533
969.0,3.6068970658816397
970.0,3.606871521100402
971.0,3.6059357416816056
972.0,3.605150396004319
973.0,3.604374467395246
974.0,3.6035894132219255
975.0,3.6027550976723433
976.0,3.6019308250397444
977.0,3.601088661700487
978.0,3.600228149909526
979.0,3.5969802695326507
980.0,3.598410503473133
981.0,3.597428970504552
982.0,3.596591985784471
983.0,3.5967782540246844
984.0,3.5956362523138523
985.0,3.5944446669891477
986.0,3.5931298239156604
987.0,3.587936938740313
988.0,3.5904267877340317
989.0,3.5889953039586544
990.0,3.585207506082952
991.0,3.5860570780932903
992.0,3.5846050111576915
993.0,3.583211390301585
994.0,3.581822831183672
995.0,3.5751297809183598
996.0,3.5794530138373375
997.0,3.575491076335311
998.0,3.5775871202349663
999.0,3.577031422406435
1000.0,3.499694934114814
1001.0,3.4975429847836494
1002.0,3.4957014210522175
1003.0,3.493991581723094
1004.0,3.492214323952794
1005.0,3.490428313612938
1006.0,3.4885892644524574
1007.0,3.486878639087081
1008.0,3.4851682521402836
1009.0,3.4835941791534424
1010.0,3.4819059763103724
1011.0,3.4802417680621147
1012.0,3.478563778102398
1013.0,3.4768855329602957
1014.0,3.475237065926194
1015.0,3.4735504500567913
1016.0,3.4718816466629505
1017.0,3.4702878315001726
1018.0,3.468605849891901
1019.0,3.4669490922242403
1020.0,3.465254358947277
1021.0,3.46375491283834
1022.0,3.4620919097214937
1023.0,3.4604610167443752
1024.0,3.4588321037590504
1025.0,3.4572002850472927
1026.0,3.4555791672319174
1027.0,3.453943744301796
1028.0,3.452324151992798
1029.0,3.450695838779211
1030.0,3.4491241592913866
1031.0,3.447525419294834
1032.0,3.4457463826984167
1033.0,3.4440291598439217
1034.0,3.4424413926899433
1035.0,3.44091616012156
1036.0,3.4392897114157677
1037.0,3.437721338123083
1038.0,3.4361323211342096
1039.0,3.43455296382308
1040.0,3.4330091662704945
1041.0,3.4314404167234898
1042.0,3.4298849496990442
1043.0,3.4283372312784195
1044.0,3.426708959043026
1045.0,3.425184518098831
1046.0,3.423640515655279
1047.0,3.4221169017255306
1048.0,3.4206086546182632
1049.0,3.4190949201583862
1050.0,3.4176154248416424
1051.0,3.4160970374941826
1052.0,3.4145260266959667
1053.0,3.4129058308899403
1054.0,3.411445416510105
1055.0,3.409885574132204
1056.0,3.408205572515726
1057.0,3.4066003188490868
1058.0,3.4050615802407265
1059.0,3.403534736484289
1060.0,3.401975929737091
1061.0,3.400376718491316
1062.0,3.398767102509737
1063.0,3.395621679723263
1064.0,3.395626910030842
1065.0,3.3940695486962795
1066.0,3.3924962505698204
1067.0,3.3909181468188763
1068.0,3.3893943578004837
1069.0,3.3878348283469677
1070.0,3.386225141584873
1071.0,3.3846170902252197
1072.0,3.3830635733902454
1073.0,3.3815311565995216
1074.0,3.3799575567245483
1075.0,3.378868229687214
1076.0,3.377352010458708
1077.0,3.3757774643599987
1078.0,3.374080292880535
1079.0,3.3725266493856907
1080.0,3.3709665164351463
1081.0,3.369422160089016
1082.0,3.367873404175043
1083.0,3.366282895207405
1084.0,3.3647919930517673
1085.0,3.363238513469696
1086.0,3.3616989627480507
1087.0,3.360179837793112
1088.0,3.358637921512127
1089.0,3.3571109920740128
1090.0,3.355602640658617
1091.0,3.354084111750126
1092.0,3.3525716215372086
1093.0,3.351055085659027
1094.0,3.3495294712483883
1095.0,3.347989622503519
1096.0,3.3464738242328167
1097.0,3.344970114529133
1098.0,3.3433145470917225
1099.0,3.34195127338171
1100.0,3.4354626797139645
1101.0,3.4399228915572166
1102.0,3.440186321735382
1103.0,3.4404163360595703
1104.0,3.4403581395745277
1105.0,3.440880712121725
1106.0,3.4412704184651375
1107.0,3.43985952436924
1108.0,3.4415918812155724
1109.0,3.4398748092353344
1110.0,3.442155983299017
1111.0,3.44246955960989
1112.0,3.442722402513027
1113.0,3.4429681934416294
1114.0,3.4432427994906902
1115.0,3.4433865509927273
1116.0,3.443626269698143
1117.0,3.441836141049862
1118.0,3.4412072263658047
1119.0,3.444564949721098
1120.0,3.4449494928121567
1121.0,3.445392020046711
1122.0,3.4458134844899178
1123.0,3.4462212882936
1124.0,3.4466538839042187
1125.0,3.447086025029421
1126.0,3.447474028915167
1127.0,3.4478639774024487
1128.0,3.448300037533045
1129.0,3.4487491250038147
1130.0,3.448804583400488
1131.0,3.4492254853248596
1132.0,3.448388062417507
1133.0,3.4505485258996487
1134.0,3.451017662882805
1135.0,3.451455146074295
1136.0,3.4517649821937084
1137.0,3.4522524289786816
1138.0,3.4523328095674515
1139.0,3.4532033018767834
1140.0,3.453662198036909
1141.0,3.453973274677992
1142.0,3.4543758258223534
1143.0,3.455155421048403
1144.0,3.4558077603578568
1145.0,3.4555027075111866
1146.0,3.4568669982254505
1147.0,3.457371089607477
1148.0,3.4578534476459026
1149.0,3.4585666730999947
1150.0,3.4588192105293274
1151.0,3.4555176123976707
1152.0,3.458543863147497
1153.0,3.4583570696413517
1154.0,3.45808494836092
1155.0,3.4575890377163887
1156.0,3.457589227706194
1157.0,3.4548173807561398
1158.0,3.4571269266307354
1159.0,3.4548150934278965
1160.0,3.456698015332222
1161.0,3.4563109651207924
1162.0,3.4563041403889656
1163.0,3.456057731062174
1164.0,3.4558969885110855
1165.0,3.4557172246277332
1166.0,3.4555455408990383
1167.0,3.4553997851908207
1168.0,3.455247063189745
1169.0,3.4550642147660255
1170.0,3.454947844147682
1171.0,3.4548707455396652
1172.0,3.4547313414514065
1173.0,3.454635288566351
1174.0,3.4545722007751465
1175.0,3.4544967003166676
1176.0,3.4542318917810917
1177.0,3.454337999224663
1178.0,3.4542662762105465
1179.0,3.4540865309536457
1180.0,3.4542586468160152
1181.0,3.45427880436182
1182.0,3.454187549650669
1183.0,3.454132813960314
1184.0,3.4507139399647713
1185.0,3.4541517086327076
1186.0,3.4542797282338142
1187.0,3.452390879392624
1188.0,3.454352930188179
1189.0,3.454449914395809
1190.0,3.452301036566496
1191.0,3.4527701549232006
1192.0,3.4547189027071
1193.0,3.4549060612916946
1194.0,3.4550720378756523
1195.0,3.455155059695244
1196.0,3.4552920535206795
1197.0,3.4555039554834366
1198.0,3.4555764347314835
1199.0,3.4558105021715164
1200.0,3.5232326984405518
1201.0,3.5259867683053017
1202.0,3.5285104289650917
1203.0,3.5309829264879227
1204.0,3.5334111526608467
1205.0,3.535775303840637
1206.0,3.538297228515148
1207.0,3.5404295474290848
1208.0,3.5431744754314423
1209.0,3.545772723853588
1210.0,3.548381492495537
1211.0,3.5510411337018013
1212.0,3.5537852495908737
1213.0,3.5566643849015236
1214.0,3.5595548674464226
1215.0,3.5623091491652303
1216.0,3.5636659564916044
1217.0,3.5664595159469172
1218.0,3.569203129300149
1219.0,3.5718484168173745
1220.0,3.5747267982224002
1221.0,3.5774940189439803
1222.0,3.5802913698134944
1223.0,3.582716591306962
1224.0,3.5859528612345457
1225.0,3.588606690056622
1226.0,3.591689500375651
1227.0,3.59474412095733
1228.0,3.5976656570564955
1229.0,3.6008815225213766
1230.0,3.604073944501579
1231.0,3.6073012216947973
1232.0,3.610567128751427
1233.0,3.613685576012358
1234.0,3.6171644823625684
1235.0,3.6205401280894876
1236.0,3.6239650044590235
1237.0,3.6274961135350168
1238.0,3.631080348044634
1239.0,3.634760057553649
1240.0,3.638383120764047
1241.0,3.6417409032583237
1242.0,3.645749147515744
1243.0,3.6497364612296224
1244.0,3.653892692644149
1245.0,3.6582624530419707
1246.0,3.662842526100576
1247.0,3.667599846608937
1248.0,3.6725070606917143
1249.0,3.6779364086687565
1250.0,3.68366861063987
1251.0,3.691578606143594
1252.0,3.698091589845717
1253.0,3.7052420619875193
1254.0,3.7130762273445725
1255.0,3.7214517695829272
1256.0,3.7301435014232993
1257.0,3.7389960568398237
1258.0,3.748707041144371
1259.0,3.7581631559878588
1260.0,3.768449915573001
1261.0,3.778040189296007
1262.0,3.789003135636449
1263.0,3.8019480910152197
1264.0,3.8144091553986073
1265.0,3.8311101272702217
1266.0,3.8508243188261986
1267.0,3.8802324160933495
1268.0,3.922436937689781
1269.0,3.9452833384275436
1270.0,3.9630524069070816
1271.0,3.9854141622781754
1272.0,4.014386132359505
1273.0,4.026946634054184
1274.0,4.039743736386299
1275.0,4.052678793668747
1276.0,4.067262098193169
1277.0,4.081481143832207
1278.0,4.096699729561806
1279.0,4.113472416996956
1280.0,4.131532073020935
1281.0,4.139485329389572
1282.0,4.15059357881546
1283.0,4.163579106330872
1284.0,4.178490221500397
1285.0,4.1954489052295685
1286.0,4.215579986572266
1287.0,4.239183276891708
1288.0,4.266340300440788
1289.0,4.2991112768650055
1290.0,4.33744652569294
1291.0,4.383133620023727
1292.0,4.438367232680321
1293.0,4.505472183227539
1294.0,4.586971566081047
1295.0,4.68892365694046
1296.0,4.8176716566085815
1297.0,4.986314505338669
1298.0,5.217786252498627
1299.0,5.551633849740028
1300.0,6.164161890745163
1301.0,7.029996678233147
1302.0,8.836214795708656
1303.0,11.036152482032776
1304.0,11.753970250487328
1305.0,12.097454398870468
1306.0,12.510044485330582
1307.0,13.006617248058319
1308.0,13.602449744939804
1309.0,14.317811280488968
1310.0,15.18490543961525
1311.0,16.259122505784035
1312.0,17.640692189335823
1313.0,18.18083167076111
1314.0,18.25098018348217
1315.0,18.30997897684574
1316.0,18.368937388062477
1317.0,18.42802558839321
1318.0,18.486952483654022
1319.0,18.546308279037476
1320.0,18.605566546320915
1321.0,18.664855435490608
1322.0,18.724236235022545
1323.0,18.783620327711105
1324.0,18.80634744465351
1325.0,18.654811337590218
1326.0,18.352087259292603
1327.0,17.940406769514084
1328.0,17.461578115820885
1329.0,16.955552011728287
1330.0,16.451823443174362
1331.0,15.969328865408897
1332.0,15.521375834941864
1333.0,15.109499886631966
1334.0,14.73597277700901
1335.0,14.399402692914009
1336.0,14.09744517505169
1337.0,13.828962191939354
1338.0,13.59041078388691
1339.0,13.37941263616085
1340.0,13.192369893193245
1341.0,13.02738043665886
1342.0,12.88151140511036
1343.0,12.752071648836136
1344.0,12.637784540653229
1345.0,12.536569654941559
1346.0,12.446522638201714
1347.0,12.36490923166275
1348.0,12.295896708965302
1349.0,12.272198289632797
1350.0,12.255746126174927
1351.0,12.245650812983513
1352.0,12.24042372405529
1353.0,12.239232659339905
1354.0,12.241528317332268
1355.0,12.24676613509655
1356.0,12.254510596394539
1357.0,12.264449819922447
1358.0,12.276189118623734
1359.0,12.289589315652847
1360.0,12.304443538188934
1361.0,12.320533245801926
1362.0,12.337741985917091
1363.0,12.355700984597206
1364.0,12.374895170331001
1365.0,12.394948691129684
1366.0,12.4154761582613
1367.0,12.436770215630531
1368.0,12.458564355969429
1369.0,12.481114625930786
1370.0,12.503979668021202
1371.0,12.527343034744263
1372.0,12.55111201107502
1373.0,12.575277671217918
1374.0,12.599842339754105
1375.0,12.62463165819645
1376.0,12.6498614102602
1377.0,12.675361886620522
1378.0,12.698856696486473
1379.0,12.72716024518013
1380.0,12.753456488251686
1381.0,12.779879629611969
1382.0,12.806850358843803
1383.0,12.833630681037903
1384.0,12.860892340540886
1385.0,12.888395443558693
1386.0,12.916107326745987
1387.0,12.943894371390343
1388.0,12.972036197781563
1389.0,13.000287979841232
1390.0,13.028838619589806
1391.0,13.057666853070259
1392.0,13.086135029792786
1393.0,13.115704238414764
1394.0,13.14505535364151
1395.0,13.174641445279121
1396.0,13.20423212647438
1397.0,13.23427127301693
1398.0,13.264452084898949
1399.0,13.29483549296856
1400.0,13.20565478503704
1401.0,13.194467142224312
1402.0,13.183058083057404
1403.0,13.171135067939758
1404.0,13.15884354710579
1405.0,13.147932171821594
1406.0,13.136195421218872
1407.0,13.124404832720757
1408.0,13.112744018435478
1409.0,13.100898310542107
1410.0,13.09031130373478
1411.0,13.079539969563484
1412.0,13.069276973605156
1413.0,13.05915778875351
1414.0,13.05075053870678
1415.0,13.043393433094025
1416.0,13.037380173802376
1417.0,13.03374457359314
1418.0,13.032921820878983
1419.0,13.038314461708069
1420.0,13.052153781056404
1421.0,13.08375097811222
1422.0,13.158193081617355
1423.0,13.192782998085022
1424.0,13.183801412582397
1425.0,13.172701761126518
1426.0,13.16192165017128
1427.0,13.151177242398262
1428.0,13.141110703349113
1429.0,13.131008565425873
1430.0,13.122139036655426
1431.0,13.113380342721939
1432.0,13.105008333921432
1433.0,13.097253978252411
1434.0,13.090102866292
1435.0,13.083438396453857
1436.0,13.077552452683449
1437.0,13.072935044765472
1438.0,13.068975001573563
1439.0,13.066177293658257
1440.0,13.064662128686905
1441.0,13.064839616417885
1442.0,13.067064955830574
1443.0,13.071939662098885
1444.0,13.080262914299965
1445.0,13.093867152929306
1446.0,13.11492808163166
