Year,Land Use.clearing forest for grassland exogenous,Land Use.clearing forests for crops exogenous,Land Use.foresting grassland exogenous,Land Use.clearing grassland exogenous,Land Use.degraded land from grassland exogenous,Land Use.forresting cropland exogenous,Land Use.fallowing cropland exogenous,Land Use.degraded land from crops exogenous,Land Use.foresting degraded land exogenous
1750,0.6510068054199218,0.3260433006286636,0.0,0.9071321350738416,0.0026857971131801,0.0,0.0,0.0060372931152582,0.0
1751,0.6510063430786134,0.3260486068725576,0.0,0.907136865860224,0.0026806655138731,0.0,0.0,0.0060471498996019,0.0
1752,0.651006438446045,0.3260537300109867,0.0,0.9071417235732068,0.0026753018856048,0.0,0.0,0.0060573401182889,0.0
1753,0.6510054359436035,0.3260590225219744,0.0,0.9071460583925246,0.0026703933984041,0.0,0.0,0.0060669789612293,0.0
1754,0.6510054489135743,0.3260635612487785,0.0,0.9071506233140828,0.0026656734347343,0.0,0.0,0.0060762795835733,0.0
1755,0.6510051872253417,0.3260688194274905,0.0,0.9071548631280651,0.0026608353167772,0.0,0.0,0.0060855980575084,0.0
1756,0.6510046417236328,0.3260739074707039,0.0,0.9071589380323876,0.0026563289821147,0.0,0.0,0.006094455614686,0.0
1757,0.6510040313720704,0.3260777153015137,0.0,0.9071634700238702,0.00265203512609,0.0,0.0,0.0061031791895627,0.0
1758,0.6510037574768066,0.3260831443786625,0.0,0.9071667321160444,0.0026476790755987,0.0,0.0,0.0061118171393871,0.0
1759,0.6510031768798828,0.3260867919921875,0.0,0.907171151928604,0.0026432674825191,0.0,0.0,0.0061198148965835,0.0
1760,0.7262283042907715,0.3526973266601576,0.0,0.9555676071122292,0.0039829893618822,0.0,0.0,0.0077707799553871,0.0
1761,0.7262277214050293,0.3527032203674327,0.0,0.9555725797012444,0.00397722838521,0.0,0.0,0.0077818420678377,0.0
1762,0.7262263038635255,0.3527071121215837,0.0,0.9555776303112502,0.003971302229166,0.0,0.0,0.0077911042153835,0.0
1763,0.7262260177612305,0.3527126342773439,0.0,0.9555827576354136,0.0039657226026058,0.0,0.0,0.0078014766722917,0.0
1764,0.7262250061035157,0.3527177505493153,0.0,0.955587209144234,0.0039605764657258,0.0,0.0,0.0078112358570098,0.0
1765,0.7262247940063477,0.3527232452392574,0.0,0.9555917457401756,0.0039556953310966,0.0,0.0,0.0078208560168743,0.0
1766,0.7262242179870605,0.35272793121338,0.0,0.9555958484679454,0.0039507960915565,0.0,0.0,0.0078301921665668,0.0
1767,0.7262240211486817,0.3527332046508782,0.0,0.9556002230048176,0.0039464166283607,0.0,0.0,0.0078391156971454,0.0
1768,0.7262237442016601,0.3527371627807607,0.0,0.9556039993673568,0.0039423011422157,0.0,0.0,0.0078476652830839,0.0
1769,0.7262235877990724,0.3527422393798822,0.0,0.9556078384309998,0.0039382368266582,0.0,0.0,0.0078560036033391,0.0
1770,1.3616361480712893,0.4326003456115739,0.0,1.0600760028928509,0.0038167383819818,0.0,0.0,0.0099122921109199,0.0
1771,1.3616413368225098,0.4326130462646471,0.0,1.0600734101712703,0.0038245385020971,0.0,0.0,0.009922173166275,0.0
