Year,Emissions.CO2 Emissions from Fossil use,Emissions.Total CH4 Emissions,Emissions.Total SO2 Emissions,Emissions.Total N2O Emissions,Emissions.N2O non AFOLU Emissions,Emissions.HFC134a eq Emissions
2080,-2141.519911337851,405.5906437325177,21.93655021819076,14614.6279317,2627.1364613959386,331.89415868138235
2081,-2891.829013937959,404.0591186229159,21.687775990944616,14660.35375459,2635.356169561145,333.04075262175735
2082,-3642.138116538067,402.5275935133141,21.439001763698474,14706.07957748,2643.575877726352,334.32449803953455
2083,-4392.447219138176,400.99606840371234,21.19022753645233,14751.80540037,2651.7955858915584,335.63100979039194
2084,-5142.756321738283,399.4645432941105,20.941453309206185,14797.53122326,2660.015294056765,336.96037269845687
2085,-5893.0654243383915,397.9330181845087,20.692679081960044,14843.25704615,2668.2350022219716,338.31242917630817
2086,-6643.3745269385,396.4014930749069,20.4439048547139,14888.982869039999,2676.4547103871787,339.68689565694814
2087,-7393.683629538607,394.86996796530514,20.195130627467755,14934.70869193,2684.6744185523853,341.08342507540925
2088,-8143.992732138716,393.3384428557033,19.94635640022161,14980.43451482,2692.894126717592,342.50164043341465
2089,-8894.301834738824,391.8069177461015,19.69758217297547,15026.16033771,2701.1138348827985,343.9411528521339
2090,-9644.610937338932,390.2753926364997,19.448807945729325,15071.8861606,2709.333543048005,345.40157129303583
2091,-10309.577756107576,388.8187898822631,19.290173083567993,15075.784489909998,2710.0343096440956,346.8825077943981
2092,-10974.54457487622,387.3621871280265,19.131538221406657,15079.68281922,2710.7350762401866,348.4248717818295
2093,-11639.511393644863,385.9055843737899,18.972903359245326,15083.58114853,2711.435842836277,349.9895773271617
2094,-12304.478212413509,384.4489816195533,18.81426849708399,15087.47947784,2712.136609432368,351.57632226611827
2095,-12969.445031182153,382.9923788653167,18.65563363492266,15091.377807149998,2712.8373760284585,353.18477816170457
2096,-13634.411849950797,381.53577611108017,18.496998772761327,15095.27613646,2713.538142624549,354.81460694441165
2097,-14299.37866871944,380.07917335684357,18.33836391059999,15099.17446577,2714.23890922064,356.46546973749247
2098,-14964.345487488084,378.62257060260697,18.17972904843866,15103.07279508,2714.9396758167304,358.1370314952682
2099,-15629.312306256728,377.16596784837037,18.021094186277324,15106.971124389998,2715.6404424128214,359.8289633973572
2100,-16294.279125025372,375.7093650941338,17.862459324115992,15110.8694537,2716.341209008912,361.54094403953286
2101,-16294.279125025372,375.0229526648609,17.753471592004047,15092.760512306606,2698.232267615519,363.2726599788408
2102,-16294.279125025372,374.3365402355881,17.6444838598921,15074.651570913215,2680.1233262221263,364.4921562640929
