,wood_harvest_area
2015.0,131.51819825172424
2016.0,134.05709886550903
2017.0,136.37830805778503
2018.0,139.43235564231873
2019.0,143.91775965690613
2020.0,151.00810956954956
2021.0,162.78580284118652
2022.0,174.52880764007568
2023.0,179.0144236087799
2024.0,180.42237281799316
2025.0,182.32919692993164
2026.0,184.620512008667
2027.0,186.57066535949707
2028.0,188.5168423652649
2029.0,190.83702945709229
2030.0,193.74880838394165
2031.0,196.78225135803223
2032.0,200.5292592048645
2033.0,205.77527141571045
2034.0,211.22781085968018
2035.0,214.98001527786255
2036.0,218.58399438858032
2037.0,222.93117427825928
2038.0,228.53562593460083
2039.0,236.33592891693115
2040.0,248.62045335769653
2041.0,253.32672882080078
2042.0,256.026442527771
2043.0,259.2201542854309
2044.0,263.26025390625
2045.0,268.2952480316162
2046.0,274.71328020095825
2047.0,283.1302099227905
2048.0,294.76990604400635
2049.0,306.17854928970337
2050.0,321.6124973297119
2051.0,323.432692527771
2052.0,324.6861295700073
2053.0,326.1523685455322
2054.0,327.92488169670105
2055.0,330.46349000930786
2056.0,333.41618514060974
2057.0,336.504789352417
2058.0,340.18999767303467
2059.0,345.13634753227234
2060.0,351.21727538108826
2061.0,356.7711000442505
2062.0,362.4825987815857
2063.0,369.3386218547821
2064.0,377.942182302475
2065.0,389.00967931747437
2066.0,393.25314021110535
2067.0,395.28184819221497
2068.0,397.6783893108368
2069.0,400.5516574382782
2070.0,402.8818459510803
2071.0,404.22189831733704
2072.0,404.6314444541931
2073.0,404.01856303215027
2074.0,403.848028421402
2075.0,403.76096510887146
2076.0,403.7686998844147
2077.0,403.94856548309326
2078.0,404.52701783180237
2079.0,404.9779860973358
2080.0,405.877272605896
2081.0,406.48203325271606
2082.0,406.4149363040924
2083.0,406.33303666114807
2084.0,406.3155553340912
2085.0,406.29950523376465
2086.0,406.2401204109192
2087.0,406.5992109775543
2088.0,407.19846963882446
2089.0,407.44801592826843
2090.0,407.9813241958618
2091.0,408.91609477996826
2092.0,409.86894488334656
2093.0,410.4052848815918
2094.0,410.92780208587646
2095.0,411.62330627441406
2096.0,412.8214952945709
2097.0,413.48464131355286
2098.0,414.0241243839264
2099.0,414.41434621810913
