,wood_harvest_biomass
2015.0,1.378058135509491
2016.0,1.3875216282904148
2017.0,1.3969852477312088
2018.0,1.4064487367868423
2019.0,1.415912251919508
2020.0,1.4253758415579796
2021.0,1.433706235140562
2022.0,1.4420366808772087
2023.0,1.450367048382759
2024.0,1.4586976170539856
2025.0,1.4670280069112778
2026.0,1.4753584936261177
2027.0,1.4836887121200562
2028.0,1.4920193329453468
2029.0,1.5003497377038002
2030.0,1.5086802020668983
2031.0,1.5146340876817703
2032.0,1.5205877125263214
2033.0,1.526541605591774
2034.0,1.53249566629529
2035.0,1.5384496562182903
2036.0,1.544403314590454
2037.0,1.5503572784364223
2038.0,1.5563111491501331
2039.0,1.5622650310397148
2040.0,1.5682189241051674
2041.0,1.5722569655627012
2042.0,1.5762951504439116
2043.0,1.5803333930671215
2044.0,1.5843713227659464
2045.0,1.5884094592183828
2046.0,1.5924476217478514
2047.0,1.5964856445789337
2048.0,1.6005237065255642
2049.0,1.6045618765056133
2050.0,1.6085998769849539
2051.0,1.577779671177268
2052.0,1.5770462024956942
2053.0,1.5777572179213166
2054.0,1.5784682417288423
2055.0,1.5792658114805818
2056.0,1.5800657514482737
2057.0,1.5808651624247432
2058.0,1.5816644467413425
2059.0,1.5824638893827796
2060.0,1.5832988768815994
2061.0,1.5828652884811163
2062.0,1.5824316088110209
2063.0,1.5819980259984732
2064.0,1.5815642941743135
2065.0,1.5811098087579012
2066.0,1.5806597117334604
2067.0,1.5802095998078585
2068.0,1.5797596788033843
2069.0,1.5793096916750073
2070.0,1.5789187774062157
2071.0,1.577793006785214
2072.0,1.5766676152125
2073.0,1.5755378976464272
2074.0,1.5744019877165556
2075.0,1.5732176844030619
2076.0,1.5720355762168765
2077.0,1.570857965387404
2078.0,1.569680611602962
2079.0,1.5685031842440367
2080.0,1.567375535145402
2081.0,1.5658191796392202
2082.0,1.5642580166459084
2083.0,1.562697058543563
2084.0,1.561135926283896
2085.0,1.5595664288848639
2086.0,1.5579983368515968
2087.0,1.5564304580911994
2088.0,1.554862443357706
2089.0,1.553294655866921
2090.0,1.551799738779664
2091.0,1.5501264026388526
2092.0,1.5484531912952662
2093.0,1.5467798616737127
2094.0,1.5451065637171268
2095.0,1.543438533321023
2096.0,1.5417949724942446
2097.0,1.5401512421667576
2098.0,1.5385062582790852
2099.0,1.5368596948683262
