Year,="Run 1: Ocean.Air sea co2 flux[1]",="Run 2: Ocean.Air sea co2 flux[1]",="Run 3: Ocean.Air sea co2 flux[1]",="Run 4: Ocean.Air sea co2 flux[1]",="Run 5: Ocean.Air sea co2 flux[1]",="Run 6: Ocean.Air sea co2 flux[1]",="Run 7: Ocean.Air sea co2 flux[1]",="Run 8: Ocean.Air sea co2 flux[1]",="Run 9: Ocean.Air sea co2 flux[1]",="Run 10: Ocean.Air sea co2 flux[1]",="Run 11: Ocean.Air sea co2 flux[1]",="Run 12: Ocean.Air sea co2 flux[1]",="Run 13: Ocean.Air sea co2 flux[1]",="Run 14: Ocean.Air sea co2 flux[1]",="Run 15: Ocean.Air sea co2 flux[1]",="Run 16: Ocean.Air sea co2 flux[1]",="Run 17: Ocean.Air sea co2 flux[1]",="Run 18: Ocean.Air sea co2 flux[1]",="Run 19: Ocean.Air sea co2 flux[1]",="Run 20: Ocean.Air sea co2 flux[1]",="Run 21: Ocean.Air sea co2 flux[1]",="Run 22: Ocean.Air sea co2 flux[1]",="Run 23: Ocean.Air sea co2 flux[1]",="Run 24: Ocean.Air sea co2 flux[1]",="Run 25: Ocean.Air sea co2 flux[1]",="Run 26: Ocean.Air sea co2 flux[1]",="Run 27: Ocean.Air sea co2 flux[1]",="Run 28: Ocean.Air sea co2 flux[1]",="Run 29: Ocean.Air sea co2 flux[1]",="Run 30: Ocean.Air sea co2 flux[1]",="Run 31: Ocean.Air sea co2 flux[1]",="Run 32: Ocean.Air sea co2 flux[1]",="Run 33: Ocean.Air sea co2 flux[1]",="Run 34: Ocean.Air sea co2 flux[1]",="Run 35: Ocean.Air sea co2 flux[1]",="Run 36: Ocean.Air sea co2 flux[1]",="Run 37: Ocean.Air sea co2 flux[1]",="Run 38: Ocean.Air sea co2 flux[1]",="Run 39: Ocean.Air sea co2 flux[1]",="Run 40: Ocean.Air sea co2 flux[1]",="Run 41: Ocean.Air sea co2 flux[1]",="Run 42: Ocean.Air sea co2 flux[1]",="Run 43: Ocean.Air sea co2 flux[1]",="Run 44: Ocean.Air sea co2 flux[1]",="Run 45: Ocean.Air sea co2 flux[1]",="Run 46: Ocean.Air sea co2 flux[1]",="Run 47: Ocean.Air sea co2 flux[1]",="Run 48: Ocean.Air sea co2 flux[1]",="Run 49: Ocean.Air sea co2 flux[1]",="Run 50: Ocean.Air sea co2 flux[1]",="Run 51: Ocean.Air sea co2 flux[1]",="Run 52: Ocean.Air sea co2 flux[1]",="Run 53: Ocean.Air sea co2 flux[1]",="Run 54: Ocean.Air sea co2 flux[1]",="Run 55: Ocean.Air sea co2 flux[1]",="Run 56: Ocean.Air sea co2 flux[1]",="Run 57: Ocean.Air sea co2 flux[1]",="Run 58: Ocean.Air sea co2 flux[1]",="Run 59: Ocean.Air sea co2 flux[1]",="Run 60: Ocean.Air sea co2 flux[1]",="Run 61: Ocean.Air sea co2 flux[1]",="Run 62: Ocean.Air sea co2 flux[1]",="Run 63: Ocean.Air sea co2 flux[1]",="Run 64: Ocean.Air sea co2 flux[1]",="Run 65: Ocean.Air sea co2 flux[1]",="Run 66: Ocean.Air sea co2 flux[1]",="Run 67: Ocean.Air sea co2 flux[1]",="Run 68: Ocean.Air sea co2 flux[1]",="Run 69: Ocean.Air sea co2 flux[1]",="Run 70: Ocean.Air sea co2 flux[1]",="Run 71: Ocean.Air sea co2 flux[1]",="Run 72: Ocean.Air sea co2 flux[1]",="Run 73: Ocean.Air sea co2 flux[1]",="Run 74: Ocean.Air sea co2 flux[1]",="Run 75: Ocean.Air sea co2 flux[1]",="Run 76: Ocean.Air sea co2 flux[1]",="Run 77: Ocean.Air sea co2 flux[1]",="Run 78: Ocean.Air sea co2 flux[1]",="Run 79: Ocean.Air sea co2 flux[1]",="Run 80: Ocean.Air sea co2 flux[1]",="Run 81: Ocean.Air sea co2 flux[1]",="Run 82: Ocean.Air sea co2 flux[1]",="Run 83: Ocean.Air sea co2 flux[1]",="Run 84: Ocean.Air sea co2 flux[1]",="Run 85: Ocean.Air sea co2 flux[1]",="Run 86: Ocean.Air sea co2 flux[1]",="Run 87: Ocean.Air sea co2 flux[1]",="Run 88: Ocean.Air sea co2 flux[1]",="Run 89: Ocean.Air sea co2 flux[1]",="Run 90: Ocean.Air sea co2 flux[1]",="Run 91: Ocean.Air sea co2 flux[1]",="Run 92: Ocean.Air sea co2 flux[1]",="Run 93: Ocean.Air sea co2 flux[1]",="Run 94: Ocean.Air sea co2 flux[1]",="Run 95: Ocean.Air sea co2 flux[1]",="Run 96: Ocean.Air sea co2 flux[1]",="Run 97: Ocean.Air sea co2 flux[1]",="Run 98: Ocean.Air sea co2 flux[1]",="Run 99: Ocean.Air sea co2 flux[1]",="Run 100: Ocean.Air sea co2 flux[1]"
1781,-0.111861864673,-0.0962122610212,-0.0818092832353,-0.107982746802,-0.110646539732,-0.12711811448,-0.115437470158,-0.101898748445,-0.0867519824775,-0.169406877209,-0.150688244609,-0.0587544069641,-0.052605234326,-0.0966820520254,-0.0604116857648,-0.0635904082174,-0.0533314285976,-0.108478285453,-0.117186344601,-0.0504995768693,-0.101861974994,-0.0867200694358,-0.138382961184,-0.110565937405,-0.107511583295,-0.127763856771,-0.0794681566247,-0.0856094343687,-0.0633170941964,-0.0893476678102,-0.120005439205,-0.0642671513486,-0.122139533157,-0.0652267075817,-0.0941112562602,-0.0731968155898,-0.114422093299,-0.126685875547,-0.107114614967,-0.110101465595,-0.0841485517366,-0.102797637306,-0.141257050131,-0.0702600901396,-0.0716913427424,-0.113595849454,-0.103025815924,-0.137497630068,-0.106341134085,-0.0883706778966,-0.0762260350851,-0.07825736071,-0.0994719746825,-0.115376341275,-0.0948156528952,-0.0828332744962,-0.0613235850487,-0.142088610556,-0.05633001412,-0.121277114123,-0.104318583711,-0.0726818592647,-0.0940268120452,-0.138930361564,-0.0874501498826,-0.0875140777371,-0.134819144032,-0.117422759218,-0.07853683416,-0.0814633087589,-0.118867979709,-0.069517286046,-0.067742198103,-0.0582563035259,-0.0724234195592,-0.0739024012836,-0.0711087274083,-0.0989711209067,-0.0718265773398,-0.141706406419,-0.0772258357573,-0.107761613659,-0.074278615966,-0.0919465486841,-0.0737263230109,-0.0898127398457,-0.0601267005407,-0.104454822516,-0.0971653471623,-0.0840077284989,-0.104499510903,-0.113382079785,-0.0856527905739,-0.0816451849359,-0.0819862560946,-0.115840512018,-0.0738256999031,-0.0673206446939,-0.102751063458,-0.0649334398507
1782,-0.113492042718,-0.0951672860456,-0.0754172902373,-0.0942337396793,-0.108243007789,-0.121759388509,-0.108217858859,-0.100217880658,-0.0838359738418,-0.179076427647,-0.150579160661,-0.0600970373988,-0.0438417764841,-0.0864109968623,-0.0572423433212,-0.0652562687728,-0.0520470386755,-0.115421841936,-0.112337634505,-0.0497247215991,-0.0948158873225,-0.0810630667131,-0.1425299438,-0.108033890578,-0.106940246278,-0.121495847521,-0.0780429283013,-0.0871244218583,-0.0643251187735,-0.0865397356272,-0.113152218581,-0.0674108548472,-0.10973292359,-0.0656834139327,-0.0785338045269,-0.069709464642,-0.113982563652,-0.119478846831,-0.0951353540676,-0.102980125618,-0.0817346786732,-0.0865653332936,-0.13621922743,-0.0747202339711,-0.0636640976614,-0.108512404296,-0.095153712887,-0.133329018221,-0.102103782344,-0.0805530852035,-0.0775099974437,-0.077000510085,-0.096174630686,-0.0954865925105,-0.100524467991,-0.0813691685366,-0.0508048414093,-0.137114989549,-0.0578184413303,-0.124305412704,-0.0994869498017,-0.0631665816235,-0.0981223436684,-0.138391296332,-0.0727504158591,-0.0794032162111,-0.124631256671,-0.109278407142,-0.0802267805365,-0.0742336936768,-0.123900541944,-0.0639759086718,-0.0702288100762,-0.0557086102639,-0.0644835896382,-0.0710862256936,-0.0744744049128,-0.0983711019994,-0.0805528204239,-0.117232060806,-0.067449712275,-0.107768273647,-0.0794745257003,-0.0811642707378,-0.076964906684,-0.0810887607901,-0.0592345705046,-0.0966611005355,-0.0886968649944,-0.0688567693932,-0.104238570403,-0.118949172275,-0.087363035637,-0.076244223635,-0.0717749996703,-0.102507514468,-0.0742202127615,-0.065780155309,-0.103541463572,-0.0630390573375
1783,0.298327759366,0.296837812873,0.27935119189,0.345121585328,0.408400380907,0.458583742004,0.376782016993,0.197265158562,0.413175037528,0.521560423318,0.45629338809,0.248154872153,0.371730387722,0.285187763058,0.272478700171,0.239534354138,0.21737853174,0.254647666234,0.428406691958,0.171717708168,0.622672118111,0.201795120712,0.555883396847,0.264727889628,0.434510556525,0.403647377406,0.192717642538,0.207979625993,0.274728222022,0.197453483067,0.221042045689,0.161909267724,0.574696617652,0.197190188331,0.403291354702,0.186111539337,0.475704171128,0.584504213133,0.313634046549,0.288114995941,0.318091080005,0.513071370225,0.276177223439,0.262200133046,0.148899851525,0.359881940336,0.275494913821,0.509428804235,0.159206714997,0.30114088199,0.148305763796,0.232337618937,0.315049735768,0.40119866699,0.312248081388,0.339192247269,0.270191434619,0.413186505001,0.278075802168,0.387576494675,0.233577239852,0.33832411436,0.294803374055,0.348696496433,0.38840475913,0.199215544192,0.390238127919,0.37231850999,0.273575799996,0.322253024645,0.381892103041,0.299057078072,0.332780055425,0.268552217467,0.301539633702,0.322860805337,0.197597472846,0.278997583452,0.178779844884,0.713184252727,0.184380589213,0.453000445736,0.152952538764,0.51469691224,0.213936186974,0.307434810609,0.304541611316,0.323265693759,0.349628000882,0.371906807022,0.276332117343,0.409366014723,0.231920339551,0.295566545012,0.407653290621,0.437328416826,0.432672660139,0.178344619593,0.290870549076,0.223914705949
1784,0.829327906275,0.702566276658,0.650504873438,0.715392634346,0.828953714559,1.06423041348,0.879341253787,0.552030335683,0.844501400532,1.47638865244,1.21221954978,0.596939184699,0.462587173884,0.628204437959,0.580404160207,0.558605182473,0.477886412973,0.772576589631,1.00760389977,0.370334672814,1.17144214678,0.465220994767,1.36570374323,0.709572679202,0.986383671277,0.985799247783,0.494465843082,0.59825363445,0.587457887997,0.522906181788,0.613962268797,0.472602620073,1.1907879603,0.499349782808,0.832219402359,0.445050641337,0.993914647278,1.21578538671,0.681385260086,0.717097739818,0.619960394296,0.844895159034,0.795237948909,0.695340694861,0.310812518692,0.833487282186,0.67159619987,1.11962051833,0.466377885365,0.642919983989,0.425192525393,0.508697444972,0.751871759832,0.776131690232,0.806618994352,0.794324314339,0.447189800626,0.995834725272,0.629996992066,1.07367763899,0.629177445785,0.594469523579,0.818954536143,0.957653668006,0.659231940883,0.473563095206,0.95842433552,0.887360061932,0.680555316492,0.601038022273,1.05083792819,0.564856458284,0.794215418006,0.542513877523,0.613911827548,0.750603383297,0.510009636125,0.729978684873,0.564514326521,1.36214623918,0.434483569739,0.97505553621,0.46096824582,0.898156667071,0.577075540171,0.665088143763,0.66107306164,0.689309520618,0.681548401778,0.635221061273,0.733515384753,1.05329949961,0.608988410681,0.586270157574,0.741061585252,0.862240488142,0.943177561054,0.361003546928,0.79416660718,0.508437844625
1785,0.603202993574,0.362300760571,0.327101112631,0.281017026541,0.333421334292,0.59671410101,0.459599415207,0.349441849115,0.320736800483,1.15561397858,0.833957070565,0.347655601741,-0.127725066275,0.265431962796,0.234461154882,0.302805900004,0.238274487426,0.62969398015,0.558354999856,0.158400297276,0.396436640995,0.181759682416,0.836494783554,0.464054649933,0.518422228913,0.564022056006,0.271403646971,0.442907299423,0.24003856603,0.30801502383,0.384827931407,0.363362379192,0.488626461323,0.30982332673,0.338150643376,0.231548474346,0.43041513125,0.489029120038,0.291947725717,0.402521128476,0.173585616606,0.131649925477,0.573688667889,0.492568871012,0.0769092969275,0.408672983209,0.369305795745,0.52578498034,0.286860581734,0.260440063239,0.288339417249,0.192929746238,0.393210930695,0.217439602661,0.550734205615,0.4225495292,0.0571292748752,0.543033416747,0.322811700995,0.821297286099,0.408817496431,0.147188844234,0.615635059496,0.656689352694,0.110671574841,0.223059467835,0.554478861174,0.491372245054,0.412174280017,0.139561007873,0.770428103117,0.133137857773,0.469268634003,0.20981464813,0.236695516965,0.423529501945,0.312655711585,0.480034685683,0.484856599939,0.474153628911,0.218469922668,0.446929783348,0.355755306499,0.183738349667,0.402986227607,0.2834293415,0.287653000942,0.268149833148,0.202083023623,0.113981097532,0.489835955688,0.703526557578,0.393012695171,0.170283476539,0.156980685039,0.281849171415,0.440189477607,0.128604930428,0.563071123097,0.245992077289
1786,0.177575841679,0.00346624765042,-0.0522317965548,-0.0291689671318,0.0327266905556,0.0892529330408,-0.00377575636351,0.0423670502287,-0.0917554418151,0.408530188096,0.182482589276,0.0202949631163,-0.126117516516,-0.0536087860155,-0.0849546276677,0.0282996051804,0.0138870781535,0.232199462462,0.0362612348202,0.000781632154751,-0.0859983608714,-0.0739988838428,0.100840559918,0.0943830856914,0.0466099140765,0.0250543377453,-0.0156369727589,0.113910946726,-0.055999669165,0.0115756525373,0.0386767269049,0.115457660656,-0.126838178881,0.0559617518824,-0.0810508461143,0.0233433138582,0.0282751598491,-0.122011182876,-0.0233316773869,0.00367672695842,-0.0895754376319,-0.104618290676,0.149866967767,0.118643073974,-0.0658662916586,-0.0435208603124,0.00974202676237,-0.00803526470429,0.0196269941871,-0.0554126719501,0.0730268646962,-0.0582582364206,-0.0204284061475,-0.133393554145,0.178787187872,-0.0426783812947,-0.0717445520507,0.0308418211311,-0.0231189848094,0.269234865098,0.0668573503776,-0.0420004138503,0.183671531418,0.13627959572,-0.100539632405,-0.0247711461553,0.0318517442202,0.0252970300153,0.0366751707332,-0.100041022111,0.185540358,-0.120478432172,0.030165605359,-0.0235298954743,-0.0380520975362,0.0237351719807,0.0620962846618,0.0864750454232,0.208129532251,-0.137430433598,-0.00186579863061,0.00872827437587,0.143727999608,-0.154181651964,0.118529083327,-0.0487831762655,-0.0904244761194,-0.0624194998033,-0.0804750550199,-0.0957934531049,0.118621262583,0.168104496973,0.0903620933898,-0.0929103080054,-0.166350717036,-0.0904882955315,-0.093708414626,0.0233080080511,0.135473304536,-0.00848454499477
1787,0.0118528632523,-0.0737582989166,-0.148261175924,-0.0583758533748,-0.00410366732101,-0.0205722813564,-0.0990403196967,-0.0576804327582,-0.117386046177,0.0808414545539,-0.0572412728566,-0.0664095869526,-0.0277530642133,-0.0917037254426,-0.127019178346,-0.0367457700021,-0.0447165163844,0.0400713078156,-0.0818011440597,-0.012121140923,-0.126323033648,-0.104726483082,-0.109082798381,-0.0264787952871,-0.0376926838432,-0.118562543086,-0.0955929842066,-0.0305656177028,-0.0814718153085,-0.0749614259103,-0.0775166243255,0.00542153286098,-0.206373385811,-0.016963144434,-0.12678316842,-0.0104935325479,-0.00509710145138,-0.187205919403,-0.0583956034874,-0.104282852993,-0.091523882023,-0.0652283922193,-0.020446660272,-0.0272126398264,-0.060990642313,-0.135207583071,-0.0797653711666,-0.0895321477223,-0.0659345877968,-0.0914264132488,0.00525896315498,-0.0733135214268,-0.107441611394,-0.12541488396,0.0473505018144,-0.168034906024,-0.0395960781536,-0.0856558325476,-0.0981976387022,0.0248974144786,-0.048801618761,-0.0363751472406,-0.00209537444844,-0.0579165073759,-0.0745381035042,-0.065339008022,-0.115279240613,-0.0845674261256,-0.0776570777493,-0.0712775794811,-0.0731752881435,-0.0963323470743,-0.0964584591457,-0.0419031139371,-0.0483550627265,-0.0898403339254,0.000290341597041,-0.0467194205818,0.0717102114397,-0.20990249096,-0.0444081609843,-0.0530689383009,0.0616542362972,-0.130533057485,0.0240475315854,-0.0881387667501,-0.152524066799,-0.0883925874007,-0.0750401322369,-0.0751696974674,0.0025533148105,-0.00684589085203,0.00512326939893,-0.0829970675885,-0.130588503478,-0.0900955554402,-0.201744573213,0.0138055223379,-0.0360678543451,-0.045079492878
1788,-0.0722910115878,-0.102088713944,-0.173128103188,-0.0893295745842,-0.0458171507528,-0.0726493425067,-0.123763976778,-0.101797848564,-0.102859637686,-0.0816788672958,-0.162102797222,-0.0850890242673,-0.0201229403916,-0.101121501372,-0.119131328424,-0.0641165276945,-0.0788953362364,-0.0626322304125,-0.11779745459,-0.0155819775165,-0.156612348648,-0.10059958556,-0.162411508313,-0.0828128924785,-0.0657236506536,-0.162711389556,-0.119518966295,-0.103182446053,-0.0691119589553,-0.104606330046,-0.132485536858,-0.0535931118928,-0.214073231563,-0.0488770975482,-0.132914347659,-0.029497703794,-0.0239088628955,-0.185828869111,-0.0814939258029,-0.142317163079,-0.0908599496016,-0.0826440637708,-0.11565006586,-0.0865170803661,-0.0621991087736,-0.156911600737,-0.115861054642,-0.118666577304,-0.103824236038,-0.103310258001,-0.0283135442458,-0.0646977964924,-0.117826092456,-0.121346328727,-0.0281161144416,-0.19156532821,-0.0448058975927,-0.129616937667,-0.10727501736,-0.104436579581,-0.102769623834,-0.0590965946334,-0.0895945095914,-0.146667277171,-0.0877239704561,-0.0758419481912,-0.173589398175,-0.123529154729,-0.113636579607,-0.0551014197113,-0.19310788771,-0.0692631331768,-0.12770394621,-0.0473714784644,-0.0482025446078,-0.135606091027,-0.0223313989556,-0.102624416811,0.000474614374865,-0.249864898436,-0.0681395073741,-0.0787188347067,0.00987541357112,-0.128287863499,-0.0216909193898,-0.0954378604264,-0.139548565443,-0.0943297975526,-0.075922204561,-0.090444344345,-0.0510119629968,-0.0754775660607,-0.0305848424124,-0.0687668831268,-0.0978711117537,-0.0914377892595,-0.2055194552,-0.00596736423468,-0.11993936891,-0.0488610312491
1789,-0.144245550173,-0.134077578679,-0.192989074715,-0.142101246281,-0.0989082912854,-0.13888898875,-0.156103098655,-0.141965710609,-0.107438736145,-0.199942091484,-0.24362067708,-0.0963662627289,-0.031632861661,-0.126617641727,-0.117475881578,-0.0909775983388,-0.109721492714,-0.136583038001,-0.159557292147,-0.0271441309879,-0.202501766831,-0.10471770154,-0.194435183959,-0.135433334735,-0.106063678932,-0.202607521868,-0.137615465553,-0.156254603789,-0.0672302309173,-0.129625809611,-0.183589096107,-0.100762105185,-0.240724319852,-0.0797279622407,-0.158681194593,-0.0610130762413,-0.0617901905693,-0.205976454494,-0.125280097179,-0.178889783253,-0.104791420798,-0.125327022359,-0.203401917028,-0.12245123129,-0.0786721761066,-0.183100209925,-0.156605445979,-0.164509594175,-0.139436216098,-0.13012819217,-0.0632629923108,-0.0695914441177,-0.128546549002,-0.149734103405,-0.0934298941674,-0.199654331804,-0.0677759061785,-0.180935653617,-0.112921045934,-0.20477806736,-0.152285613673,-0.0969791125059,-0.148983035466,-0.217447441565,-0.121643746819,-0.095728399549,-0.23095728752,-0.168698770866,-0.137404416204,-0.0660528489347,-0.267796242798,-0.0679429023076,-0.143818494399,-0.0628293269601,-0.069139393034,-0.175402047021,-0.0461589170499,-0.149159816488,-0.0483349592206,-0.30445341228,-0.103106704664,-0.116865854181,-0.0426620930043,-0.15145035347,-0.0659182773231,-0.118010193177,-0.125244530095,-0.119834256887,-0.0987527539016,-0.12526111036,-0.104503253515,-0.126522556819,-0.0672281665802,-0.0775934410264,-0.0991627095606,-0.123165437091,-0.20259318004,-0.0316993329838,-0.185688131988,-0.0613713174803
1790,-0.145557760362,-0.109760863315,-0.156119102688,-0.120243056045,-0.074165399029,-0.117632969648,-0.116421149931,-0.131182376492,-0.0506745697537,-0.194957162732,-0.219086981896,-0.0620555065213,0.017955799886,-0.0943780275954,-0.0737692157845,-0.0732832330224,-0.0936067873319,-0.138768213358,-0.120669219453,-0.010140086113,-0.140617973006,-0.0707077580981,-0.125284474362,-0.125620384076,-0.0693855446707,-0.160316931093,-0.113942701889,-0.151708461059,-0.0268134456892,-0.107879153063,-0.173379988762,-0.104406704896,-0.169571245288,-0.069614764757,-0.11103080651,-0.0531090736168,-0.0185135804289,-0.130480611564,-0.102561345391,-0.151897493101,-0.064830091289,-0.0719575230589,-0.210890308458,-0.100200065338,-0.0616411134554,-0.141462369104,-0.137108954048,-0.120255888498,-0.128627806004,-0.0996023509873,-0.0614312536882,-0.0379658974029,-0.081449546548,-0.100180682777,-0.0914857970522,-0.145605297237,-0.0390668918461,-0.149740079794,-0.0739611080014,-0.211632353343,-0.143428511354,-0.068468384962,-0.139105155481,-0.202852326281,-0.0784556982381,-0.0729964009675,-0.202301135879,-0.138223966728,-0.10849019817,-0.0256421738019,-0.244731397847,-0.0251980669371,-0.100271586512,-0.0344257668437,-0.039105490614,-0.151615105948,-0.0313442437363,-0.133234000168,-0.0483802504963,-0.218690626828,-0.0939848645968,-0.0787660959252,-0.0574204364504,-0.0894063924416,-0.0643492453832,-0.0839053870087,-0.0663201196747,-0.0838652840247,-0.0559394240936,-0.0854479053458,-0.0977415058873,-0.0994774852007,-0.0567838982009,-0.0393036616451,-0.0422325292295,-0.0732245255777,-0.133185261179,-0.0201591133412,-0.181211597247,-0.0369015068052
