Year,Emissions.CO2 Emissions from Fossil use,Emissions.Total CH4 Emissions,Emissions.Total SO2 Emissions,Emissions.Total N2O Emissions,Emissions.N2O non AFOLU Emissions,Emissions.HFC134a eq Emissions,Land Use.clearing forest for grassland exogenous,Land Use.clearing forests for crops exogenous,Land Use.foresting grassland exogenous,Land Use.clearing grassland exogenous,Land Use.degraded land from grassland exogenous,Land Use.forresting cropland exogenous,Land Use.fallowing cropland exogenous,Land Use.degraded land from crops exogenous,Land Use.foresting degraded land exogenous,Forest.cutting exogenous,Crop.crop production exogenous
2150,-13006.987987052476,99.36184956685642,8.184576347290088,10797.097486977724,1376.4040260445508,353.40564258959927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2151,-12356.638587699852,99.19519908207852,8.121603509466347,10783.33344671728,1362.6399857841054,351.70251358234725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2152,-11706.28918834723,99.02854859730064,8.058630671642607,10769.569406456832,1348.8759455236598,350.0179595595304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2153,-11055.939788994605,98.86189811252274,7.995657833818867,10755.805366196386,1335.1119052632143,348.35145415762224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2154,-10405.59038964198,98.69524762774483,7.932684995995126,10742.04132593594,1321.347865002769,346.702486092386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2155,-9755.240990289356,98.52859714296696,7.869712158171385,10728.277285675496,1307.5838247423233,345.07055870372653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2156,-9104.891590936732,98.36194665818904,7.806739320347645,10714.51324541505,1293.8197844818778,343.4551895150508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2157,-8454.542191584109,98.19529617341117,7.743766482523904,10700.749205154603,1280.0557442214322,341.85590980662846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2158,-7804.192792231485,98.02864568863328,7.680793644700164,10686.98516489416,1266.2917039609868,340.2722642024914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2159,-7153.843392878862,97.86199520385536,7.617820806876423,10673.221124633714,1252.527663700541,338.70381027034136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2160,-6503.493993526237,97.69534471907748,7.554847969052683,10659.457084373267,1238.7636234400957,337.1501181341348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2161,-5853.144594173614,97.5286942342996,7.491875131228943,10645.693044112822,1224.9995831796502,335.610770098744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2162,-5202.79519482099,97.36204374952167,7.428902293405202,10631.929003852376,1211.2355429192046,334.0853602864788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2163,-4552.445795468366,97.1953932647438,7.365929455581462,10618.164963591931,1197.4715026587592,332.57349428489186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
