Year,Land Use.clearing forest for grassland exogenous,Land Use.clearing forests for crops exogenous,Land Use.foresting grassland exogenous,Land Use.clearing grassland exogenous,Land Use.degraded land from grassland exogenous,Land Use.forresting cropland exogenous,Land Use.fallowing cropland exogenous,Land Use.degraded land from crops exogenous,Land Use.foresting degraded land exogenous
1750,0.6808326049804687,8.720407338714601,0.0298257995605468,7.544812362377346,0.0063397918760776,8.394364038085937,6.6376802273035045,0.0088710911870002,0.0017068559646606
1751,0.6808321777343751,8.749166990661621,0.0298258346557617,7.561554842931033,0.0063313222140073,8.423118383789063,6.654417977070809,0.0088843735814094,0.0017067684173583
1752,0.6808325988769532,8.777926972198488,0.0298261604309082,7.578297610533237,0.0063226224660873,8.451873242187501,6.671155886960031,0.0088979917764663,0.0017066772460937
1753,0.6808320373535156,8.806686756896974,0.0298266014099121,7.595039740037918,0.0063143794745206,8.480627734375,6.687893681645393,0.0089110598802566,0.0017065820693969
1754,0.6808323181152344,8.835446031951903,0.0298268692016601,7.611782078044118,0.0063063267350196,8.509382470703125,6.704631454730035,0.008923792207241,0.0017064834594726
1755,0.680832501220703,8.864205928802491,0.0298273139953613,7.628524402269721,0.0062981568723917,8.538137109375,6.721369539141656,0.0089365430712699,0.0017063827514648
1756,0.680832275390625,8.892965728759767,0.0298276336669921,7.645266069465875,0.0062903207540512,8.566891821289063,6.738107131433488,0.0089488357424736,0.00170627784729
1757,0.6808320861816407,8.92172454147339,0.0298280548095703,7.662008169740439,0.0062826987296342,8.595646826171876,6.7548446997165685,0.0089609946012496,0.0017061695098876
1758,0.6808321166992187,8.950484365081788,0.0298283592224121,7.678749677677453,0.006275015631318,8.624401220703126,6.771582945561409,0.0089730707883834,0.0017060586929321
1759,0.6808318908691406,8.979099365234376,0.0298287139892578,7.695491630224884,0.0062672793209552,8.653012573242188,6.7883204782962805,0.0089845081090927,0.001705944442749
1760,0.759100341796875,9.03440223388672,0.0328720375061035,7.746394011421502,0.0073119047135114,8.681704907226562,6.790826404309273,0.0105586803674697,0.0013176513671875
1761,0.7590999633789063,9.064515622711182,0.0328722419738769,7.763812742145359,0.0073032014906406,8.71181240234375,6.808240162444115,0.0105732346653938,0.0013171028137207
1762,0.7590989074707032,9.094599348449709,0.0328726036071777,7.7812314564049245,0.0072943327724933,8.741892236328125,6.825653826093674,0.0105859889507293,0.0013165523529052
1763,0.7590988281250001,9.124683801269532,0.0328728103637695,7.798650452704727,0.0072858128547668,8.771971166992188,6.843067695069314,0.0105998536467552,0.0013160013198852
1764,0.7590983032226564,9.154639356994627,0.0328732971191406,7.81606895724833,0.0072777253836393,8.801921606445314,6.860481748104096,0.0106131053686141,0.0013154481887817
1765,0.7590983947753907,9.184574880981446,0.0328736007690429,7.833487265402079,0.0072699060201644,8.831851635742188,6.877895519661903,0.0106262191176414,0.0013148951530456
1766,0.7590980895996093,9.214509986877443,0.0328738716125488,7.850905558016897,0.007262067425251,8.861782055664063,6.895309709548951,0.0106390485167503,0.0013143403053283
1767,0.759098260498047,9.244445314025878,0.0328742393493652,7.86832362023592,0.0072547506570816,8.891712109375,6.912723397231102,0.0106514656066894,0.0013137846946716
1768,0.7590981750488281,9.2743797164917,0.0328744308471679,7.885741617932917,0.0072476973950862,8.921642553710939,6.93013761856556,0.0106635083675384,0.0013132271766662
1769,0.7590986389160157,9.304314749145508,0.0328750511169433,7.903158941760659,0.0072406978070735,8.951572509765626,6.947551103329659,0.0106753410577774,0.001312669467926
1770,1.389181091308594,9.405140799713136,0.0275449432373046,8.01769699679315,0.0083830632060766,8.972540454101562,6.957620993900299,0.0134749414205551,0.0016505907058715
1771,1.3891862426757813,9.436793270874023,0.0275449058532714,8.036400055760145,0.0083836094826459,9.004180224609376,6.976326645588875,0.0134946194529533,0.0016480474472045
1772,1.3891918212890624,9.468439381408691,0.027545026397705,8.055103329581023,0.0083849943250417,9.0358201171875,6.995032761812211,0.0135075939893722,0.0016455068588256
1773,1.3891971313476563,9.500058854675292,0.0275452308654785,8.07380525817871,0.0083869073659181,9.067433422851565,7.013738995504379,0.0135194945693016,0.00164296875
1774,1.3892027465820314,9.53156406326294,0.0275454307556152,8.092507558086515,0.0083890418320894,9.098933154296876,7.03244513566494,0.0135307849645614,0.0016404327392578
1775,1.3892082275390627,9.563070317077637,0.0275453605651855,8.111208315506579,0.008392337924242,9.1304333984375,7.051151192879677,0.0135409943580627,0.0016379001617431
1776,1.3892139526367189,9.59457515563965,0.0275456672668457,8.12990988701582,0.0083952017128467,9.161933349609376,7.069857719564438,0.0135515596032142,0.0016353693008422
