timebounds,0.05,0.17,0.5,0.83,0.95
1750.0,0.0,0.0,0.0,0.0,0.0
1751.0,8.570492533834377e+20,2.955641843220872e+21,4.901440995144238e+21,6.615049875112725e+21,8.069258312524619e+21
1752.0,2.458042727037051e+21,5.518303252265877e+21,8.972669050666516e+21,1.24044899284474e+22,1.4853597359725833e+22
1753.0,3.015147941115298e+21,7.757512133436102e+21,1.2726854079563143e+22,1.7104626170468736e+22,2.05667077879865e+22
1754.0,3.3857359255762717e+21,9.347918379596018e+21,1.5443304063133261e+22,2.12663102675475e+22,2.592126168990871e+22
1755.0,-6.438765859173726e+20,5.760739004334847e+21,1.2467387741509396e+22,1.9154101127571306e+22,2.418733273684875e+22
1756.0,-3.243737621170377e+21,3.748784199276548e+21,1.1304072615925826e+22,1.8800130880315763e+22,2.486732043015038e+22
1757.0,-3.480404614547113e+21,4.316732032671325e+21,1.2613477236896873e+22,2.095388628552925e+22,2.7905552051627966e+22
1758.0,-2.8679796277225886e+21,4.932568508869093e+21,1.4620948540081895e+22,2.4239984594942014e+22,3.208194949766536e+22
1759.0,-1.3785512900283107e+21,6.854450337617732e+21,1.7856389635021394e+22,2.778258149574725e+22,3.7254549105225343e+22
1760.0,-1.5068166737083993e+20,9.690819385549442e+21,2.1875577745107434e+22,3.268047560379496e+22,4.180979158239466e+22
1761.0,2.133173915988452e+21,1.269030080421848e+22,2.555498308279392e+22,3.732175626559393e+22,4.7139194285718025e+22
1762.0,3.505468086650754e+21,1.5423744014557053e+22,2.9193944223387285e+22,4.222555847523405e+22,5.236293178044469e+22
1763.0,-1.0451204061829708e+22,2.4035232522276926e+21,1.6311372808524566e+22,2.919306895704963e+22,4.084931801330604e+22
1764.0,-1.8407870044979845e+22,-5.423623391808476e+21,9.083735354363973e+21,2.204556016036274e+22,3.4135687345734114e+22
1765.0,-1.950973323576368e+22,-6.53858592363344e+21,9.036480580146239e+21,2.3129448540487247e+22,3.542194362296721e+22
1766.0,-2.0058582308036775e+22,-5.491404293407744e+21,1.0999991152257853e+22,2.6661562554663964e+22,3.8992007239444885e+22
1767.0,-1.8272290493449594e+22,-4.047011377607384e+21,1.4026636229827155e+22,3.0008701096703245e+22,4.299875592977779e+22
1768.0,-2.5243188429633064e+22,-9.851442088123619e+21,9.173343061522112e+21,2.602851705286898e+22,4.001977899348613e+22
1769.0,-2.8523598676018806e+22,-1.2070623563391655e+22,7.435877413080523e+21,2.4806049163712618e+22,4.0453167813620494e+22
1770.0,-2.68022378223506e+22,-9.3162084484535e+21,1.093864017098525e+22,2.8137958844444264e+22,4.429677788864077e+22
1771.0,-2.2910921001289625e+22,-6.23691881332948e+21,1.4930779836704316e+22,3.2891943144292635e+22,4.9936149426203685e+22
1772.0,-2.0443796383216033e+22,-2.099772365897832e+21,1.944675158626613e+22,3.801302687008286e+22,5.5480101057760806e+22
1773.0,-1.8401300661131977e+22,1.4067070981457948e+21,2.3222120289163423e+22,4.245468737661533e+22,6.046510143209354e+22
1774.0,-1.5657305328310181e+22,4.2367960444493423e+21,2.657661562991636e+22,4.6842385365792715e+22,6.609544229622395e+22
1775.0,-1.4457530019064343e+22,6.14207442514996e+21,2.8979404190737603e+22,4.9769610997673256e+22,7.003316214815394e+22
