,ECS,TCR,OHC,temperature 2003-2022,ERFaer,CO2 concentration
7507,3.19206619988879,2.142304366286205,733.479605753,1.1609369520499613,-0.45867037860456994,417.191923847
3518,3.613819164235332,1.9759548714454045,700.305719205,0.997789534252114,-0.6113294328647999,415.496484841
23631,2.379413676604523,1.6532414784220788,508.57863999099993,0.9169427194977621,-0.7244767940624,416.508671062
5802,2.2914488641616666,1.8815250310995404,299.5375402699,1.1480300507146923,-1.3287519725232202,417.032152357
2997,2.8340654613800824,1.999270598394319,550.430782208,1.1550699154799313,-0.6285412113296001,417.421525365
27792,2.3219757118586486,1.8176799486789077,298.83776786,0.9899455246483138,-0.6831151918017999,416.913917097
9421,2.3499689486251416,1.7471208092425876,416.99660172700004,0.9547002178494283,-1.3524075333921703,417.3255905
5690,2.935867269663937,1.988278862804847,610.8731597679999,0.9932079116810947,-0.19141716313515,417.027701023
26369,2.217752719796116,1.7477377978123816,501.73813682199994,1.0757321855578745,-0.5523765315063001,416.551763786
27079,4.464373947750795,2.283966209331128,406.38896586299995,1.0342417682503267,-0.8868208928289,417.123252224
9654,2.7729445940229747,1.6855931443732308,527.258792812,1.1671225264473453,-0.6845528846111001,416.399213372
6580,2.001155553238969,1.6756199943952526,528.8379904920001,0.9887176765546175,-0.5698799401163,418.083937653
20860,3.125129949439932,1.8997099153370192,558.053195946,1.0787790893060414,-1.2579086961815,417.349139693
154,3.617804231416874,2.224537378958149,456.42804527000004,1.066144196998438,-1.0738362781031001,416.343423664
13507,2.985312433279044,2.16065626578361,384.2501791094,1.1710407064124018,-1.2139295591026,417.248884
23329,2.918120704328291,1.965699890788076,613.407356076,0.9969992934330149,-0.5495368477844,416.252388856
3640,2.128828259457637,1.9092899706896,302.947160075,1.0974944463777894,-0.33687164424632,416.634162603
28225,2.434967244138666,1.5384657282854035,576.8095167179999,1.1256282950354943,-0.47248540433680003,417.053576977
12725,2.237028045258359,1.5770774075828715,529.181949082,0.9188536713873012,-0.66365635625131,416.213789347
24134,2.73592050230327,1.627023612445823,531.9912970639999,0.970711621358924,-1.1611320699939,417.595004426
5476,1.484865642614921,1.0611344830857494,471.85982892,1.0563335991690512,-0.7958424063747,416.055609715
14909,2.33177411190583,1.56791899111631,305.5057122293,1.0229944808019573,-1.3838028328408,416.693425674
3379,2.830694582656665,1.9077374405384584,518.159334216,1.1311964213373853,-0.89500073184553,416.774001068
6295,2.381916515373022,2.06495245795754,242.2800855001,1.1638968765240467,-1.0645158611057,417.073240637
17936,3.4673544252658863,2.094115328488012,603.085260248,1.1812036782233601,-0.9042234977701,417.805060119
29162,3.991202778577565,1.9715301790647977,644.316464728,1.1715636829651332,-1.1221356151579,418.042375854
16536,3.6043516112173104,2.130486574576965,514.3391808851,1.1145492808215027,-1.5988689724818999,417.461560517
2232,2.28869446879255,1.816576612841993,423.472681595,1.0469565465475912,-0.8157150985935001,417.755295154
24052,3.711192230559013,1.9674472941130443,559.1659455895,1.1123450872565992,-1.4811044804603,416.954824855
931,2.0301109869903016,1.7183666929163195,379.695372978,1.1471380664122752,-0.8247927253098,417.16496155
26981,3.884902612373072,1.8678291260308335,699.0546950109999,1.0480822232926208,-0.9043268612078,416.696000313
12923,3.195100893926042,2.1836185463982654,430.589470171,1.15869086493485,-0.9334265116356,416.813228613
9020,3.746956801186357,2.052203710380975,542.5631978260001,1.194990711260596,-1.0685286557047,415.58362023
8619,2.491811013132489,1.5718340305180625,503.64046231400005,1.1671309873026765,-0.6537825828109001,417.373157925
13137,2.928568303228684,2.0526172392350497,530.863963951,1.031005875755017,-0.9669746952073999,416.844540947
16833,2.01570067115897,1.6141539469015806,348.0597477901,0.9589303948327843,-1.3161197816435,417.531385095
6746,4.024318467236066,2.289282821434549,527.160110184,0.9387652295167427,-1.071561878837796,415.958896178
22389,1.587438859160646,1.2207773295372375,527.098435854,1.1134418354019178,-0.47337480489493994,417.280430461
26195,2.4171409869940077,1.6733595246722026,467.43396640640003,1.070708442203531,-1.36275020829501,416.442710422
23300,2.9879894781203657,1.612020175282758,527.9818547620001,1.0798132209558908,-0.7831572615151,416.298270493
1526,2.048872081516852,1.451337706901191,491.7930937130001,1.1230771550894991,-0.49480519759966,416.039686087
3736,2.209461750065081,1.6312976843978104,384.622566459,0.9820034680117531,-1.0544161632289002,417.108127048
16769,2.6757226494917536,2.1412793156879264,373.383169828,1.2298506130396938,-0.5813536715523,415.918105249
16683,1.9238455693301568,1.5902486075125366,541.5511274529999,1.029205542045172,-1.1134811349618199,417.748423757
12160,1.6253138343190414,1.2464656177649105,349.13829290499996,0.8661779720345091,-1.1897064455501,416.958974714
43,1.9707988305347437,1.7240535308923557,274.08796037260004,1.0298845989331493,-1.208806223167,416.281938227
13138,2.783886816966838,1.6162246399570968,519.116276998,0.9319345302815468,-0.9184934102904,416.869967813
7212,3.187730934790579,2.1475333054078827,501.507248378,1.1790931695510154,-0.9753451325511999,417.522252198
373,2.189045831391057,1.608976209228817,369.290524033,0.8391934486699206,-0.5681247161762099,416.48340874
27960,2.632918510796744,1.69541432448239,585.511878627,1.2087082961685567,-0.39450744349354,416.645039558
18177,2.019818174992808,1.320287055722487,592.8990911789999,1.1976921525148432,-0.6288102592473799,415.764468402
22377,3.668457677522481,1.991917107256784,596.0508108136,1.0699936159227181,-1.4897131143749003,418.234870096
18263,1.779712316506867,1.558451605832459,289.98496943000004,0.8886058938419906,-0.6335105434028,417.473266554
2644,2.9661963359917776,1.7930451731319634,481.57812453500003,1.057392956303047,-1.0273486417646,416.667813249
24021,3.530885993423515,2.015301530827403,350.18162276230004,1.078623006292818,-1.180108022269,417.276497553
29912,3.17356586921733,2.263050891675711,402.0943356465,1.0955297692928043,-1.0799699069869,418.071346925
23122,3.3294929135017117,2.080689961673194,621.201893561,1.148472959659818,-0.5964770139044,417.137701109
6005,2.7374856053931014,1.7316838473672245,641.0655275519999,1.041795379057346,-0.6736187178963,416.111068439
14130,2.1634416913310965,1.5878306651727665,627.1003148689999,1.0309780484817983,-0.054116888538244,417.385299276
1838,4.884449699181191,1.8834743439822783,590.5392233869999,1.0608582392119903,-0.8981657096192002,417.144028758
3067,3.269729655182364,1.9007088635662923,573.4796336640001,1.0508751204325082,-0.7114238804685,417.962867735
16701,2.134579837989101,1.6488715310347783,528.4298640029999,0.8669213673287273,-1.2303264325496999,416.780476553
6434,2.681418517024792,1.5634650263247611,651.863472486,1.1045422161419878,-0.32453324267507,417.687532748
2559,2.246933388076977,1.5522121304340255,476.563729205,0.8583114289201674,-0.8069560557479,416.151033684
27149,3.232300418925636,1.8204604895053729,534.1097479680001,1.0402758404753958,-1.18053459537885,418.381639081
29760,2.9754172532692573,1.8438497871834936,487.38697377439996,1.0650041922767322,-1.2457067173400547,416.556689714
2759,5.432815832527064,2.3476124617770524,623.9686243970001,1.0429275970075713,-1.1101989529331,418.846091603
14374,3.163789375378922,1.9905574093353904,543.103878491,1.169267315971052,-0.9587084702749,417.525874399
10357,2.3240696406761794,2.0091062418396253,362.611117653,1.135862406817204,-0.7131186695949999,416.955359466
10166,3.1153638591516906,1.8739725772577047,668.536272474,0.9930945060305078,-1.3215366898812,415.742241742
21374,4.093553009380526,2.3974606579215925,563.717368267,1.2185456114736612,-1.3088927652507998,415.909306745
14668,3.332689934564218,1.9987431260046955,629.2964888,1.2272916830539626,-0.9891437149037001,416.949902113
27251,2.453996536980392,1.7673481370507642,369.8091525369,1.1590617434806845,-1.4437144016809,418.899678289
21408,2.130222741497282,1.680744428948558,541.843369541,0.9256865316512728,-0.46721772793004007,415.690737623
26423,2.589278097736297,1.7500034818166406,474.46579617199995,0.8225130508660781,-1.11459798665063,417.542265399
12439,2.508956484724645,1.6829085457810262,587.3299830809999,0.9919603561344642,-0.6065350446708699,417.112994142
12295,1.5747227550202323,1.2513008843031743,374.191769516,1.0618342269799812,-0.7412045843067001,416.858306525
19628,2.222726910017049,1.6127053325659195,391.51314328800004,0.8782667724811843,-0.9705702202663999,418.865393209
13494,1.4818290993158645,1.3164696932045328,333.2989608406,0.8740795973910067,-0.7949010637512199,417.712545342
4682,2.5423580662364005,1.9741272937085348,354.650520954,1.1039694439339447,-0.5767216256163401,417.855972421
20757,2.2906584025041723,1.582161849839687,649.219727771,1.0620200765964531,-0.13390102289811,419.125796351
2895,2.5643199287716905,1.9151774627234104,506.82696860199997,1.0304639083328462,-1.1567735730833,416.429343863
6113,2.586745909858313,1.8080885775000293,578.81924728,1.0673855114950879,-0.07021411421744299,416.339529986
4540,2.5400474478234947,1.9428938389461208,400.64740977100007,1.0913412833962641,-0.46892206517823,417.273180403
22608,3.343397748568059,2.122513024621272,711.8952611980001,1.2218029952655098,-0.43126947900481005,416.525491853
9846,2.8053541156258675,2.0439140969117413,460.675908619,1.1524770117162106,-0.2920411324951,417.948398681
8712,3.484397663949847,2.096339620597896,594.539737046,1.1695898857104965,-0.6297167101962999,415.848697946
20632,3.0642287701809146,1.937381410635289,593.294436516,0.8095446013826264,-0.6516358980669,416.939047534
15641,3.88531036340856,2.17463548402748,632.220826777,1.0849530777303646,-0.6780516719594,418.689135672
2123,4.244803761621212,2.2067783858425507,622.346003133,1.22778757141553,-0.7606423733302001,418.991817439
778,4.980332289138789,2.5286838167424306,645.304936489,1.0427457692969022,-0.9200326479705001,416.450858291
11144,3.731278666355731,2.3550577778199315,445.99089789000004,1.1579266420153804,-0.8837766975233999,418.341494702
23073,3.007012412716405,1.4987299315493403,560.143292642,1.0456421607229176,-1.2975288540626,416.864497122
24354,2.825594413992296,1.9855029566165372,445.35870073000007,1.1319973879680416,-1.01379231207638,418.011548646
8947,2.6153492810886725,1.6578739445730482,531.3141027730001,0.8626826953959056,-0.9617790878243089,416.09216378
24158,5.594471004442887,2.0917435771154094,585.2614470100001,1.212665404375914,-0.9203256757144999,417.369455711
7025,2.121104745606732,1.838510132054184,449.53500536600006,0.9592093366190887,-1.0323116692072,417.940533616
18977,3.0890006430299075,1.8255563135903723,540.010945785,1.007592513778381,-0.8511036339953001,417.635498403
8527,1.9358587408236567,1.5649888906677158,429.01019642399996,1.1007065856079485,-0.26754876602030997,416.686785603
29521,4.623344652719669,2.319553992866898,440.3337590399,1.0703916605933057,-1.3046877157453003,418.12897846
