Model,Scenario,Region,Variable,Unit,Activity_Id,Source,Version,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Observed,historical,World,Effective Radiative Forcing|Aerosols,W/m2,Constraining Data,IGCC2024,RCMIP Phase 3 v1.0.0,-0.08262261,-0.074346854,-0.071212116,-0.075491194,-0.091699698,-0.086573275,-0.088479989,-0.095319325,-0.09966123,-0.102228587,-0.10750809,-0.108370885,-0.108500635,-0.106436227,-0.110737773,-0.12368818899999999,-0.121791179,-0.132586493,-0.143846364,-0.14181871699999998,-0.15037133,-0.148245104,-0.150607276,-0.16629870800000002,-0.170644074,-0.167636223,-0.174293129,-0.17938792099999998,-0.183296101,-0.19487011,-0.204802846,-0.210307378,-0.21437935,-0.215113013,-0.222991334,-0.22729413299999998,-0.226748311,-0.237319677,-0.26036188099999996,-0.256765849,-0.274405005,-0.2731797,-0.272492423,-0.275016762,-0.29329918099999996,-0.299827173,-0.300615541,-0.318439776,-0.329425733,-0.356066178,-0.36637709,-0.372269267,-0.377290482,-0.393376245,-0.410269475,-0.43037103,-0.446776449,-0.489778051,-0.479190604,-0.491849427,-0.517298396,-0.50988937,-0.516971459,-0.5396157,-0.516593343,-0.505783917,-0.534333313,-0.556530374,-0.555644136,-0.49458309899999997,-0.53528352,-0.468305656,-0.477216552,-0.532598418,-0.520943501,-0.524838426,-0.53188923,-0.559429249,-0.560899361,-0.594879405,-0.572958124,-0.502404442,-0.46747273500000003,-0.483336783,-0.5319402010000001,-0.5581207269999999,-0.599041249,-0.624232018,-0.580685123,-0.62299646,-0.657691142,-0.673807972,-0.695846676,-0.699635663,-0.689275763,-0.614584578,-0.597279868,-0.638857044,-0.6671995430000001,-0.6619849520000001,-0.714098611,-0.7081750699999999,-0.729376142,-0.752705119,-0.767009508,-0.8107048020000001,-0.8702601860000001,-0.90482353,-0.887225656,-0.912169677,-0.948634423,-0.984579419,-0.9916412080000001,-1.0605193450000001,-1.054470406,-1.079228642,-1.094197739,-1.120540772,-1.140599312,-1.15914416,-1.225812419,-1.235688148,-1.3046464819999999,-1.308264018,-1.300443048,-1.2811367790000001,-1.348750874,-1.357538725,-1.376404204,-1.398792436,-1.39392434,-1.354436494,-1.3929827279999998,-1.310057636,-1.337500508,-1.350305153,-1.352038618,-1.393368141,-1.400763321,-1.384131351,-1.399406554,-1.488891381,-1.333023318,-1.340669973,-1.397986706,-1.32721156,-1.289438109,-1.427269297,-1.4063952149999999,-1.266361784,-1.218572831,-1.21909742,-1.302684922,-1.342995028,-1.345590631,-1.3894978510000002,-1.414187574,-1.3866061980000002,-1.3312474060000001,-1.253298697,-1.269797544,-1.256785514,-1.279149651,-1.199867641,-1.208095818,-1.1942508790000002,-1.0970996739999999,-1.074346957,-1.056092138,-1.1129193229999998,-0.9565484559999999,-1.038740385,-0.925656499,-1.13084218
Observed,historical,World,Global Mean Surface Temperature (GMST),°C,Constraining Data,IGCC2024,RCMIP Phase 3 v1.0.0,-0.052,0.043,0.088,0.053,0.051,0.063,-0.022,-0.132,-0.029,0.058,-0.062,-0.117,-0.182,-0.029,-0.052,0.041,0.033,0.033,0.053,0.056,0.021,-0.002,0.026,0.011,-0.042,-0.014,-0.044,0.301,0.363,0.073,0.031,0.131,0.051,0.011,-0.129,-0.119,-0.114,-0.167,0.008,0.126,-0.157,-0.044,-0.119,-0.122,-0.124,-0.057,0.081,0.083,-0.117,0.026,0.123,0.078,-0.069,-0.182,-0.242,-0.062,0.036,-0.142,-0.177,-0.212,-0.182,-0.202,-0.124,-0.109,0.091,0.143,-0.074,-0.197,-0.057,0.013,0.046,0.086,0.001,0.021,0.021,0.058,0.196,0.093,0.096,-0.069,0.148,0.211,0.161,-0.002,0.143,0.103,0.151,0.298,0.291,0.283,0.383,0.363,0.321,0.363,0.486,0.366,0.208,0.261,0.188,0.178,0.108,0.256,0.336,0.396,0.196,0.148,0.086,0.308,0.321,0.301,0.241,0.318,0.276,0.306,0.048,0.156,0.208,0.243,0.178,0.323,0.276,0.158,0.271,0.408,0.183,0.243,0.148,0.461,0.353,0.431,0.551,0.598,0.396,0.576,0.403,0.398,0.448,0.583,0.631,0.521,0.701,0.683,0.481,0.528,0.583,0.736,0.621,0.761,0.913,0.666,0.671,0.818,0.893,0.886,0.811,0.958,0.911,0.923,0.806,0.936,1.008,0.886,0.916,0.943,1.013,1.161,1.273,1.181,1.108,1.236,1.266,1.108,1.148,1.438
Observed,historical,World,Atmospheric Concentrations|CO2,ppm,Constraining Data,NOAA GML,RCMIP Phase 3 v1.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.85,338.91,340.11,340.86,342.53,344.07,345.54,346.97,348.68,351.16,352.79,354.06,355.39,356.09,356.83,358.33,360.17,361.93,363.05,365.7,367.79,368.96,370.57,372.58,375.14,376.95,378.98,381.15,382.9,385.02,386.5,388.75,390.62,392.65,395.4,397.34,399.65,403.06,405.22,407.61,410.07,412.44,414.7,417.08,419.32
Observed,historical,World,Ocean Heat Content|Total,ZJ,Constraining Data,IGCC2024,RCMIP Phase 3 v1.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.563023333,0.501303333,13.08925333,8.74993,26.71028333,24.08339467,39.36555467,54.08508467,74.67720667,83.30728667,70.10123333,56.91692333,52.13085667,64.31257667,74.31713333,94.5832,105.8409333,117.19907,121.17487,118.7348367,128.2052033,132.6372367,131.5580033,138.9460367,151.1091033,152.3773367,144.63757,142.3270367,159.9709033,184.7358033,201.42227,221.1717033,233.7090033,249.10137,257.98607,268.08687,279.4771033,290.3434367,300.8048033,310.79597,326.7609367,340.14877,355.4962367,368.1062367,382.7382367,387.1209033,400.4069033,411.9142367,435.1049033,453.62157,472.0289033,487.6709033
Observed,historical,World,Total Heat Content,ZJ,Constraining Data,IGCC2024,RCMIP Phase 3 v1.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.540985823,11.81821934,4.163815457,15.63146004,11.75440401,29.18759733,28.18853546,44.04061318,59.81487059,81.74743006,90.87718414,77.71763945,64.79307567,59.4120809,71.57360278,82.45083438,103.1223905,116.6499735,128.0402646,132.9897621,131.1284231,138.8939204,143.462333,143.9274686,152.5581747,165.8938431,167.0713845,162.5293563,159.6689804,177.6484532,203.8161933,221.6963863,241.6694664,255.1440719,272.5053177,282.8894432,294.1058052,305.9591151,318.4501969,331.342215,341.7728186,358.7016136,373.3515605,388.8233501,402.6520104,420.6815045,426.3494547,439.7662039,452.568401,477.772926,,,
Global Carbon Budget,historical,World,Carbon Flux to Land,PgC/yr,Constraining Data,GCB2024,RCMIP Phase 3 v1.0.0,0.299774737784763,0.0506805861938704,0.188491862782417,0.204615583244931,0.504174578953349,0.324757019428027,0.618296930990993,0.972216074007005,0.203973459945829,-0.240143460479245,0.30212423435339,-0.342947363026937,-0.316769670314466,0.90538000585986,0.532948829385846,0.0433754561265328,0.459078426700972,0.544001314434014,0.723821158341298,0.244806217595002,0.452925684327461,0.0360393430874463,0.263649629212179,0.228609860129121,0.593823942026795,0.513398969568289,0.697762496481089,1.03667023921882,0.48312890783771,0.0044048801737807,0.608533570896531,-0.185583294280442,-0.0918821943042789,1.13336661353418,0.820238746070514,0.326087482337655,0.749648791254336,0.835719210051005,0.944914428916801,0.587856703749091,0.766683201329685,0.209365635813092,0.611508751839476,0.537105707627756,0.812727789430456,0.711886590448023,1.13780365308056,1.23239688451265,0.699166212958312,0.350518740410672,0.824108405879917,0.0927012736091016,-0.150845187486955,1.47764667720822,1.31337580055329,0.354028049148679,1.0946337761277,1.13346627911372,1.21360641143284,0.696072482114204,0.920654932806631,0.357944633155802,0.655127332821311,0.610428467383863,1.10551186654544,0.730435368590232,1.21101649522373,1.61062442952515,0.839508400862191,0.212303042891799,1.08601940992007,1.12057479442379,0.600312584901759,1.24857073835815,0.653994395687251,0.887105946834608,0.439337978214084,1.14260676866913,0.364452801790531,0.431829070842487,0.651556001099298,-0.0813180705738608,0.691000184626897,0.714512225249443,0.600406611932094,0.47927523047076,0.509380375215862,0.486509972080094,0.737617760440724,1.31464540185704,1.06952348157144,0.4794132079768,1.02063899977355,1.06964267832517,0.0996594192533719,0.73779185446167,0.421755174730391,1.22628848324169,1.08341486808261,0.739203994643494,2.02917764004304,0.955653584215307,0.0096399453538486,1.04632071362351,0.887411729843051,1.80956656022224,2.3130015231614,0.851864057228018,-0.00270073962821161,0.368378445686921,1.09642562061473,0.845490983191056,1.31912584264237,0.874708975886814,1.58686575810255,0.369738698059748,1.45137546671214,1.57661945378884,2.36406061591851,0.702455993061356,0.659202704672895,2.22962696187325,1.18799907156168,1.59480277209718,3.72193091922653,2.43191957032019,2.98306130844988,1.29473122163381,2.50835452150661,1.16221902778766,0.373093569107295,2.12154303075447,1.51014312076551,0.230185618301816,2.6818278545771,2.57536378788462,2.36342194159167,0.592846277560217,1.99203313641585,3.44272389383666,2.38729776497544,2.13086558502565,2.44262047373218,3.07231813465707,1.53177925152177,1.89066338461877,3.42307750077703,3.14782975066402,1.44725224844232,3.51275494941941,3.81250418180344,2.58503359452323,1.33532482189421,2.53704597678871,3.63135136552222,2.09537148781272,3.09166313125993,2.80379583509695,3.47578614191898,2.89486496379869,3.30808667072611,4.10529015469177,2.485318735883,3.59244788667027,3.74401345627809,2.26443507208769,2.93929952862176,3.62416539552789,3.49958319866779,3.07205245924867,3.03808679687718,3.50660953892104,3.87079836895213,2.30204238209957
Global Carbon Budget,historical,World,Carbon Flux to Oceans,PgC/yr,Constraining Data,GCB2024,RCMIP Phase 3 v1.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00844107356389,0.999830203808642,0.879819334053401,0.957408464298155,1.13229759454291,1.26268672478766,1.36247585503241,1.32436498527717,1.16075411552193,1.25104324576668,1.36533237601144,1.21432150625619,1.29211063650095,1.57209976674571,1.46138889699046,1.38907802723522,1.30706715747997,1.51715628772473,1.62534541796948,1.61033454821424,1.57712367845899,1.89711280870375,1.81600193894851,1.92499106919326,2.12058019943801,1.89846932968277,1.81205845992753,1.87864759017228,1.98113672041703,1.88812585066179,1.86341498090654,2.01916189932745,2.17662274875027,2.30273199607298,2.25619621958998,2.06764671008418,2.07338551207671,2.06390235065422,2.20886345641342,2.2571032619824,2.0525556570822,1.99193047399766,1.88623164393797,2.2787849158568,2.39508182875004,2.35974091061338,2.39198427415523,2.51192989494457,2.44461870387762,2.47354493404014,2.6126198553158,2.57993901351165,2.61663560818006,2.6657296912405,2.71157118746995,2.83416505324353,2.8809085798283,3.01080947217258,2.83094919791231,2.91976229001933,2.93072424260868,2.90042561628041,2.80006392537033,2.72272125315367,2.88072069300471
